"SERVICE_ID","SERVICE_NAME","DESCRIPTION","TYPE_ID","CAL_RATE","ID","SERVICE_DISPLAY","UNIT_ID","UNIT_CODE","SERVICE_TYPE","THRESHOLD_TYPE","STATUS","FOMULAR_DESCRIPT","UPDATE_TIME","UPDATE_USER","ORDER_INDEX","TYPE_PARAM","SERVICE_TYPE_PARAM","IS_LEAF"
1450,TT Kinh doanh SP Công nghệ cao Viettel,,1,,1953,TT Kinh doanh SP Công nghệ cao Viettel,2,,1,1,1,,,,,DTTD,,
1453,Doanh thu nội bộ Viettel,,1,,1956,DT nội bộ Viettel,2,,1,1,1,,,,,DTTD,1,
892,TB Homephone PSC,thuhuyen - 20161203,2,,1958,TB Homephone PSC,1,,1,1,1,,,,,DTTD,3,
1742,Phí duy trì Bankplus,Bo sung 12052014,1,,1959,Phí duy trì Bankplus,2,,1,1,1,,,,,DTTD,1,
1148,Tiêu dùng thực di động (TT+TS),Cập nhật ngày 20170821. Công thức ID148 + ID154,1,,1960,Tiêu dùng thực di động (TT+TS),2,,905,1,1,TD thực DĐ,2021-10-31 10:22:13.000,"170635",,DTTD,1,0
840,Tin tức,huyenvtm1 - 20161018,1,,1962,Tin tức,2,,1,1,1,,,,,DTTD,2,1
841,Giải trí,huyenvtm1 - 20161018,1,,1963,Giải trí,2,,1,1,1,,,,,DTTD,2,1
843,Khác,huyenvtm1 - 20161018,1,,1965,Khác,2,,1,1,1,,,,,DTTD,2,1
845,Doanh thu bản quyền,huyenvtm1 - 20161018,1,,1967,DT bản quyền,2,,1,1,1,,,,,DTTD,2,1
848,Khác,huyenvtm1 - 20161018,1,,1969,Khác,2,,1,1,1,,,,,DTTD,2,1
850,DOANH THU NỘI BỘ,huyenvtm1 - 20161018,1,,1971,DT NỘI BỘ,2,,1,1,1,,,,,DTTD,2,0
851,DOANH THU ĐỐI TÁC NGOÀI,huyenvtm1 - 20161018,1,,1972,DT ĐỐI TÁC NGOÀI,2,,1,1,1,,,,,DTTD,2,0
854,TT TB lũy kế,thuhuyen - 20161018,3,,1974,TT TB lũy kế,1,,1,1,1,,,,,DTTD,3,
856,TB Cityphone 20K,thuhuyen - 20161018,7,,1976,TB Cityphone 20K,1,,1,1,1,,,,,DTTD,3,
857,TT TB lũy kế,thuhuyen - 20161018,3,,1977,TT TB lũy kế,1,,1,1,1,,,,,DTTD,3,
858,TB20KPSC TT TB tăng/giảm,thuhuyen - 20161018,2,,1978,TB20KPSC TT TB tăng/giảm,1,,1,1,1,,,,,DTTD,4,
860,TT TB lũy kế,thuhuyen - 20161018,3,,1980,TT TB lũy kế,1,,1,1,1,,,,,DTTD,3,
862,TB Cityphone PSC,thuhuyen - 20161018,7,,1982,TB Cityphone PSC,1,,1,1,1,,,,,DTTD,3,
863,TT TB lũy kế,thuhuyen - 20161018,3,,1983,TT TB lũy kế,1,,1,1,1,,,,,DTTD,3,
865,TB di dộng - Không Cityphone - PSC gốc>0,thuhuyen - 20161018,7,,1985,TB di dộng - Không Cityphone - PSC gốc>0,1,,1,1,1,,,,,DTTD,3,
866,TT TB lũy kế,thuhuyen - 20161018,3,,1986,TT TB lũy kế,1,,1,1,1,,,,,DTTD,3,
868,TB Cityphone PSC gốc>0,thuhuyen - 20161018,7,,1988,TB Cityphone PSC gốc>0,1,,1,1,1,,,,,DTTD,3,
869,TT TB lũy kế,thuhuyen - 20161018,3,,1989,TT TB lũy kế,1,,1,1,1,,,,,DTTD,3,
870,TB20KPSC TT TB tăng/giảm,thuhuyen - 20161018,2,,1990,TB20KPSC TT TB tăng/giảm,1,,1,1,1,,,,,DTTD,4,
760,TD TK gốc TT ( Trừ tiêu dùng đúc sim),,1,,1994,TD TK gốc TT ( Trừ tiêu dùng đúc sim),2,,1,1,1,,,,,DTTD,1,1
761,Tiêu dùng đúc sim,,1,1,1996,Tiêu dùng đúc sim,2,,1,1,1,,,,,DTTD,1,1
874,Viện Hàng không vũ trụ,,1,,1997,Viện Hàng không vũ trụ,2,,1,1,1,,,,,DTTD,,
888,TB20KPSC TT TB tăng/giảm,thuhuyen - 20161203,2,,2000,TB20KPSC TT TB tăng/giảm,1,,1,1,1,,,,,DTTD,4,
889,TB Dcom PSC,thuhuyen - 20161203,2,,2001,TB Dcom PSC,1,,1,1,1,,,,,DTTD,3,
891,TB20KPSC TT TB tăng/giảm,thuhuyen - 20161203,2,,2003,TB20KPSC TT TB tăng/giảm,1,,1,1,1,,,,,DTTD,4,
893,TT TB lũy kế,thuhuyen - 20161203,3,,2004,TT TB lũy kế,1,,1,1,1,,,,,DTTD,3,
896,TT TB lũy kế,thuhuyen - 20161031,3,,2006,TT TB lũy kế,1,,1,1,1,,,,,DTTD,3,
897,TB20KPSC TT TB tăng/giảm,thuhuyen - 20161031,2,,2007,TB20KPSC TT TB tăng/giảm,1,,1,1,1,,,,,DTTD,4,
898,TB Homephone PSC gốc>0,thuhuyen - 20161031,2,,2008,TB Homephone PSC gốc>0,1,,1,1,1,,,,,DTTD,3,
901,FTTx - Rời mạng,FTTx - Rời mạng,2,,2010,FTTx - Rời mạng,1,,1,1,1,,,,,DTTD,,
904,MultiScreen - Rời mạng,MultiScreen - Rời mạng,2,,2013,MultiScreen - Rời mạng,1,,1,1,1,,,,,DTTD,,
882,TB TT x>=100 (DD),TB TT x>=100 (DD),2,,2016,TB TT x>=100 (DD),1,,1,1,1,,,,,DTTD,,
239,TS TB thực tăng/giảm,,2,,2017,TS TB thực tăng/giảm,1,,1,1,1,,,,,DTTD,6,0
3057,Hàng Quốc Phòng,,1,,2019,Hàng Quốc Phòng,,,1,1,1,,,,,DTTD,,
3059,Hàng nội bộ TĐ,,1,,2020,Hàng nội bộ TĐ,2,,1,1,1,,,,,DTTD,2,0
3060,DOANH THU,,1,,2021,DT,2,,905,1,1,,2021-03-11 17:51:50.000,"170635",,DTTD,2,
3014,GIÁ TRỊ SẢN LƯỢNG,,1,,2022,GIÁ TRỊ SẢN LƯỢNG,2,,1,1,1,,,,,DTTD,2,
3016,Doanh thu nội bộ Tập đoàn,,1,,2024,DT nội bộ Tập đoàn,2,,1,1,1,,,,,DTTD,2,
3039,DOANH THU,,1,,2027,DT,2,,905,1,1,,2021-03-15 15:26:51.000,"170635",,DTTD,2,
96,IPTV,,1,,1912,IPTV,2,,1,1,1,,,,,DTTD,2,0
742,Trung kế,,1,,1913,Trung kế,2,,1,1,1,,,,,DTTD,,
1534,Datapost,thuhuyen-20180614,1,,1914,Datapost,2,,1,1,1,,,,,DTTD,2,1
3040,Doanh thu,,1,,2028,DT,2,,1,1,1,,,,,DTTD,,
3045,Doanh thu nội bộ,,1,,2030,DT nội bộ,2,,1,1,1,,,,,DTTD,2,1
3046,Doanh thu bên ngoài,,1,,2031,DT bên ngoài,2,,1,1,1,,,,,DTTD,2,1
3054,Doanh thu Tài chính,,1,,2034,DT Tài chính,2,,1,1,1,,,,,DTTD,2,1
1557,Doanh thu Clinke,thuhuyen-20180614,1,,2035,DT Clinke,2,,1,1,1,,,,,DTTD,1,0
968,Truyền hình,huyenvtm1 - 20170702,1,,2040,Truyền hình,2,,1,1,1,,,,,DTTD,2,0
325,CÁC KHOẢN LOẠI TRỪ,,1,,2041,CÁC KHOẢN LOẠI TRỪ,2,,1,1,1,,,,,DTTD,,
327,CSKH di động,,1,,2043,CSKH di động,2,,1,1,1,,,,,DTTD,1,
328,CSKH cố định,,1,,2044,CSKH cố định,2,,1,1,1,,,,,DTTD,1,
332,Giao thông,,1,,2047,Giao thông,2,,1,1,1,,,,,DTTD,1,
333,Y tế,,1,,2048,Y tế,2,,1,1,1,,,,,DTTD,1,
335,Khác,,1,,2049,Khác,2,,1,1,1,,,,,DTTD,1,
336,Lợi nhuận KD TBĐC,,1,,2050,Lợi nhuận KD TBĐC,2,,1,1,1,,,,,DTTD,,
342,D-Com,,1,,2053,D-Com,2,,1,1,1,,,,,DTTD,1,
3925,TB thực tăng/giảm,,1,,2055,TB thực tăng/giảm,1,,1,1,1,,,,,DTTD,,
3949,TB thực tăng/giảm,,1,,2056,TB thực tăng/giảm,60,,1,1,1,,,,,DTTD,6,0
3952,Offset,,4,,2057,Offset,2,,1,1,1,,,,,DTTD,2,1
1041,Dịch vụ Khai thác Dữ liệu,,1,,2059,Dịch vụ Khai thác Dữ liệu,2,,1,1,1,,,,,DTTD,2,0
1044,Dịch vụ SMS,,1,,2062,Dịch vụ SMS,2,,1,1,1,,,,,DTTD,2,0
1045,SMS banking,,1,,2063,SMS banking,2,,1,1,1,,,,,DTTD,1,1
1046,Quảng cáo trên SMS,,1,,2064,Quảng cáo trên SMS,2,,1,1,1,,,,,DTTD,1,1
1047,Dịch vụ khác,,1,,2065,Dịch vụ khác,2,,1,1,1,,,,,DTTD,2,0
1049,Doanh thu khác  ,,1,,2067,DT khác  ,2,,1,1,1,,,,,DTTD,1,1
1050,Doanh thu dịch vụ,,1,,2068,DT dịch vụ,2,,1,1,1,,,"239175",,DTTD,1,
4000,CNTT,,4,,2069,CNTT,2,,1,1,1,,,,,DTTD,1,
3509,Featurephone,,1,,2071,Featurephone,2,,1,1,1,,,,,DTTD,2,0
4002,Viettel Hancic,,1,,2072,Viettel Hancic,2,,1,1,1,,,,,DTTD,1,
5000,Khác,,1,,2074,Khác,,,1,1,1,,,,,DTTD,2,
1771,DT Vas,Bo sung ngay 19/01/2015,1,,2075,DT Vas,2,,1,1,1,,,,,DTTD,1,1
1775,DT khác,Bo sung ngay 19/01/2015,1,,2076,DT khác,2,,1,1,1,,,,,DTTD,1,1
1773,DT tài chính,Bo sung ngay 19/01/2015,1,,2077,DT tài chính,2,,1,1,1,,,,,DTTD,1,1
502,DT đầu số 106x từ DN khác,,1,,2079,DT đầu số 106x từ DN khác,2,,1,1,1,,,,,DTTD,1,1
1772,DT QLDA,Bo sung ngay 19/01/2015,1,,2081,DT QLDA,2,,1,1,1,,,,,DTTD,1,1
1774,Lãi trả chậm,Bo sung ngay 19/01/2015,1,,2082,Lãi trả chậm,2,,1,1,1,,,,,DTTD,1,1
1724,Chia sẻ dịch vụ VAS,Bo sung ngay 19/01/2015,1,,2083,Chia sẻ dịch vụ VAS,2,,1,1,1,,,,,DTTD,1,
1725,DT khác,Bo sung ngay 19/01/2015,1,,2084,DT khác,2,,1,1,1,,,,,DTTD,1,
501,DT ngoài TKG DV Vas,,1,,2087,DT ngoài TKG DV Vas,2,,1,1,1,,,,,DTTD,1,1
1766,offset,Bo sung ngay 23/01/2015,4,,2088,offset,2,,1,1,1,,,,,DTTD,1,1
1782,offset,Bo sung ngay 19/01/2015,4,,2089,offset,2,,1,1,1,,,,,DTTD,1,
416,DOANH THU,,1,,2090,DT,2,,1,1,1,,,,,DTTD,,
510,Lợi nhuận KD TBDC di động,,1,,2092,Lợi nhuận KD TBDC di động,2,,1,1,1,,,,,DTTD,1,1
512,Viện Nghiên cứu,,1,,2093,Viện Nghiên cứu,2,,1,1,1,,,,,DTTD,,
1830,Dịch vụ mới,Bo sung ngay 24/04/2015,1,,2094,Dịch vụ mới,2,,1,1,1,,,,,DTTD,2,1
608,MultiScreen - Ký hợp đồng,,6,,2098,MultiScreen - Ký hợp đồng,56,,1,1,1,,,,,DTTD,1,
609,Phát triển mới,,6,,2099,Phát triển mới,1,,1,1,1,,,,,DTTD,2,1
611,TB thực tăng giảm,,2,,2101,TB thực tăng giảm,1,,1,1,1,,,,,DTTD,6,0
603,Cước phát sinh,,1,,2105,Cước phát sinh,2,,1,1,1,,,,,DTTD,2,1
604,Khác,,1,,2106,Khác,2,,1,1,1,,,,,DTTD,2,1
6666,Offset,,4,,2107,Offset,2,,1,1,1,,,,,DTTD,1,
3304,TRUNG TÂM PHẦN MỀM VIETTEL 2,,7,,2108,TRUNG TÂM PHẦN MỀM VIETTEL 2,2,,1,1,1,,,,,DTTD,2,1
415,Giá trị sản lượng,,4,,2111,Giá trị sản lượng,2,,1,1,1,,,,,DTTD,1,
418,TRUYỀN HÌNH,,1,,2113,TRUYỀN HÌNH,2,,1,1,1,,2021-03-15 15:28:20.000,"170635",,DTTD,2,0
419,XI MĂNG CẨM PHẢ,,1,,2114,XI MĂNG CẨM PHẢ,2,,1,1,1,,,,,DTTD,1,
420,THƯƠNG MẠI & XNK,,1,,2115,THƯƠNG MẠI & XNK,2,,1,1,1,,,,,DTTD,2,0
421,KD ủy thác,,4,,2116,KD ủy thác,2,,1,1,1,,,,,DTTD,1,
422,KD bán lẻ,,4,,2117,KD bán lẻ,2,,1,1,1,,,,,DTTD,1,
425,Featurephone,,4,,2120,Featurephone,2,,1,1,1,,,,,DTTD,1,
428,"DT theo nhiệm vụ (Cào, TBĐC cho VTT)",,4,,2123,"DT theo nhiệm vụ (Cào, TBĐC cho VTT)",2,,1,1,1,,,,,DTTD,1,
429,Sản lượng bán ĐTDĐ,,4,,2124,Sản lượng bán ĐTDĐ,63,,1,1,1,,,,,DTTD,,
430,Smartphone,,4,,2125,Smartphone,63,,1,1,1,,,,,DTTD,1,
431,Featurephone,,4,,2126,Featurephone,63,,1,1,1,,,,,DTTD,1,
1721,Offset,,4,,2128,Offset,58,,1,1,1,,,,,DTTD,1,1
1707,Offset,,4,,2130,Offset,2,,1,1,1,,,,,DTTD,1,
53,Di động,,1,,2133,Di động,2,,1,1,1,,,,,DTTD,2,1
54,D-Com,,1,,2134,D-Com,2,,1,1,1,,,,,DTTD,2,1
56,Cityphone,,1,,2136,Cityphone,2,,1,1,1,,,,,DTTD,2,1
57,Khác,,1,,2137,Khác,2,,1,1,1,,,,,DTTD,2,1
60,Di động,,1,,2140,Di động,2,,1,1,1,,,,,DTTD,2,1
61,HomePhone,,1,,2141,HomePhone,2,,1,1,1,,,,,DTTD,2,1
63,Khác,,1,,2143,Khác,2,,1,1,1,,,,,DTTD,2,1
65,Quảng cáo,,1,,2145,Quảng cáo,2,,1,1,1,,,,,DTTD,2,1
67,Bulk SMS,,1,,2147,Bulk SMS,2,,1,1,1,,,,,DTTD,2,1
1712,Offset,,4,,2150,Offset,2,,1,1,1,,,,,DTTD,1,
71,Thiết bị,,1,,2152,Thiết bị,2,,1,1,1,,,,,DTTD,2,1
72,Lắp đặt và sau bán,,1,,2153,Lắp đặt và sau bán,2,,1,1,1,,,,,DTTD,2,1
14,chỉ tiêu 13,,,,376,chỉ tiêu 13,2,,1,1,1,,2020-08-28 08:42:50.000,slgb_admin_bi,,DTTD,,
38,Hàng hãng,,1,,2158,Hàng hãng,2,,1,1,1,,,,,DTTD,2,1
1686,Offset,,4,,2159,Offset,2,,1,1,1,,,,,DTTD,1,
1462,"3G",,1,,2160,"3G",2,,1,1,1,,,,,DTTD,2,1
1685,Offset,,4,,2163,Offset,2,,1,1,1,,,,,DTTD,1,
45,Tablet,,1,,2165,Tablet,2,,1,1,1,,,,,DTTD,2,1
47,"Khác (router 3G,…)",,1,,2166,"Khác (router 3G,…)",2,,1,1,1,,,,,DTTD,2,1
930,Doanh thu bên ngoài,,1,,2171,DT bên ngoài,2,,1,1,1,,,,,DTTD,1,
931,Giá trị sản lượng,,1,,2172,Giá trị sản lượng,2,,1,1,1,,,,,DTTD,1,
932,TT An ninh mạng,,7,,2173,TT An ninh mạng,2,,1,1,1,,,,,DTTD,2,0
3307,Khối hạch toán độc lập,,1,,2176,Khối hạch toán độc lập,2,,1,1,1,,,,,DTTD,2,1
3402,Sản lượng tiêu thụ clinker,,4,,2177,Sản lượng tiêu thụ clinker,50,,1,1,1,,,,,DTTD,1,
3301,Doanh thu,,1,,2179,DT,2,,1,1,1,,,,,DTTD,2,1
3303,Khối hạch toán độc lập,,1,,2181,Khối hạch toán độc lập,2,,1,1,1,,,,,DTTD,2,1
317,Số ngày cho bán hàng,BI Tu tinh,6,,2182,Số ngày cho bán hàng,64,,1,1,1,,,,,DTTD,9,0
320,Tài khoản khuyến mại,,1,1,2185,Tài khoản khuyến mại,2,,1,1,1,,,,,DTTD,10,1
321,Tiêu dùng tài khoản trả trước,,1,,2186,Tiêu dùng tài khoản trả trước,2,,1,1,1,,,,,DTTD,2,0
3503,Cước VAS,,4,,2190,Cước VAS,2,,1,1,1,,,,,DTTD,1,
3510,Smartphone,,1,,2191,Smartphone,2,,1,1,1,,,,,DTTD,2,1
244,Tổng Phát triển mới,,7,,2192,Tổng Phát triển mới,1,,1,1,1,,,,,DTTD,2,0
31,Thiết bị,,1,,2195,Thiết bị,2,,1,1,1,,,,,DTTD,2,0
59,Kết nối đến (trong nước),,1,,2197,Kết nối đến (trong nước),2,,1,1,1,,,,,DTTD,2,0
400,VIETTEL NETWORK,,1,,2199,VIETTEL NETWORK,2,,1,1,1,,,,,DTTD,2,
402,CÔNG TRÌNH,,1,,2200,CÔNG TRÌNH,2,,1,1,1,,,,,DTTD,2,0
403,Giá trị sản lượng,,4,,2201,Giá trị sản lượng,2,,1,1,1,,,,,DTTD,1,
408,KINH DOANH NHÀ,,1,,2204,KINH DOANH NHÀ,2,,1,1,1,,,,,DTTD,1,
410,IDC,,1,,2205,IDC,2,,1,1,1,,,,,DTTD,2,
3953,Offset,,4,,2207,Offset,2,,1,1,1,,,,,DTTD,1,
10004,"1 DOANH THU BÁN HÀNG VIỄN THÔNG",,,,5186,"1 DT BÁN HÀNG VIỄN THÔNG",2,,1,1,1,,,,,DTTD,2,0
150022,Chi phí chia sẻ,,1,,6022,Chi phí chia sẻ,2,,1,1,1,,,,,DTTD,2,1
8578,"DT Hợp tác VTS, IDC",thunc,1,,4452,"DT Hợp tác VTS, IDC",2,,1,1,1,,,,,DTTD,2,
8140, Khác,thunc,1,,200922, Khác,2,,1,1,1,,,,,DTTD,1,
190036,Phụ tùng đồng bộ + sản phẩm khác,M3,1,,10036,Phụ tùng đồng bộ + sản phẩm khác,2,,1,1,1,NULL,2021-06-21 14:42:48.000,NULL,,DTTD,2,0
190050,"Anten trạm BTS, Phụ kiện quang khác, tủ Rack, …",M3,1,,10050,"Anten trạm BTS, Phụ kiện quang khác, tủ Rack, …",2,,1,1,1,NULL,2021-06-21 14:42:48.000,NULL,,DTTD,2,0
3230,A1 + Ống phóng,M3,1,,10112,A1 + Ống phóng,58,,1,1,1,NULL,2021-06-21 14:42:48.000,NULL,,DTTD,2,1
7092,Trạm thu phí Bắc Giang - Lạng Sơn,,,,200393,Trạm thu phí Bắc Giang - Lạng Sơn,2,,1,1,1,,,,,DTTD,2,0
8504,Sàn Voso,thunc,1,,4364,Sàn Voso,2,,1,1,1,,2021-11-10 17:32:48.000,"170635",,DTTD,2,1
7043,Mức giá dịch vụ,,,,200344,Mức giá dịch vụ,23,,1,1,1,,,,,DTTD,5,1
7020,Trạm Khánh Hòa,,,,200321,Trạm Khánh Hòa,2,,1,1,1,,,,,DTTD,2,0
8579,"DT Bán chéo (CĐBR, ViettelPay)",thunc,1,,4453,"DT Bán chéo (CĐBR, ViettelPay)",2,,1,1,1,,,,,DTTD,2,
3308,Xuất khẩu,,,,5021,Xuất khẩu,2,,1,1,1,,,yengtn_is,,DTTD,2,0
5241,Tổ hợp phương tiện bay không người lái tầm trung VUA SC-6G,,1,,200227,Tổ hợp phương tiện bay không người lái tầm trung VUA SC-6G,2,,1,1,1,,,,,DTTD,2,
8324,Cloud,thunc,1,,4084,Cloud,2,,1,1,1,,,,,DTTD,1,
150048,Doanh thu Xổ số,,1,,6048,DT Xổ số,2,,1,1,1,,,,,DTTD,2,0
7174,"Xe trên 31 chỗ, xe tải từ 4 - 10 tấn",,,,200475,"Xe trên 31 chỗ, xe tải từ 4 - 10 tấn",84,,1,1,1,,,,,DTTD,2,1
5077,Hệ thống mô phỏng Su 30,,1,,11046,Hệ thống mô phỏng Su 30,2,,1,1,1,,,,,DTTD,2,
210031,Game,,,,5174,Game,2,,1,1,1,,,,,DTTD,2,
10113,THỊ TRƯỜNG NƯỚC NGOÀI,,,,5275,THỊ TRƯỜNG NƯỚC NGOÀI,2,,1,1,1,,,,,DTTD,2,0
30,"Cho bên thứ 3 (game,…)",thunc,1,,4796,"Cho bên thứ 3 (game,…)",2,,1,1,1,,,,,DTTD,2,1
8455, CP roaming quốc tế,thunc,1,,4180, CP roaming quốc tế,2,,1,1,1,,,,,DTTD,2,
8627, Xi măng bao jumbo PCB40,thunc,1,,4528, Xi măng bao jumbo PCB40,2,,1,1,1,,,,,DTTD,1,1
150006,Dịch vụ  chuyển tiền mặt/thu hộ tại Quầy,,1,,6006,Dịch vụ  chuyển tiền mặt/thu hộ tại Quầy,2,,1,1,1,,,,,DTTD,1,0
3258,Thùng xe các loại,M3,1,,10140,Thùng xe các loại,2,,1,1,1,NULL,2021-06-21 14:42:48.000,NULL,,DTTD,2,0
160060,Chi phí chia sẻ doanh thu,,,,200159,Chi phí chia sẻ doanh thu,2,,1,1,1,,2021-06-21 14:42:48.000,"241173",,DTTD,2,1
8568,Trong Tập đoàn,thunc,1,,4442,Trong Tập đoàn,2,,1,1,1,,,,,DTTD,2,0
5295,Tàu ngầm,,1,,200281,Tàu ngầm,2,,1,1,1,,,,,DTTD,2,
21,bán thẻ,thunc,1,,4726,bán thẻ,2,,1,1,1,,,,,DTTD,2,0
7133,"Xe tải từ 10 - 18 tấn, xe Container 20 feet",,,,200432,"Xe tải từ 10 - 18 tấn, xe Container 20 feet",2,,1,1,1,,,,,DTTD,2,1
150026,Chi phí khác,,1,,6026,Chi phí khác,2,,1,1,1,,,,,DTTD,2,1
7209,"Xe từ 12 - 30 chỗ, xe tải từ 2- 4 tấn",,,,200510,"Xe từ 12 - 30 chỗ, xe tải từ 2- 4 tấn",84,,1,1,1,,,,,DTTD,2,1
21938,khanhtest2,"12313",,,3121,khanhtest2,5,,44,1,1,,2020-09-18 07:39:24.000,slgb_admin_bi,,DTTD,,
7245,"Xe từ 12 - 30 chỗ, xe tải từ 2- 4 tấn",,,,200546,"Xe từ 12 - 30 chỗ, xe tải từ 2- 4 tấn",84,,1,1,1,,,,,DTTD,2,1
3289,Sản phẩm dân sự ,,,,5007,Tích hợp OCS,2,,1,1,1,,,yengtn_is,,DTTD,2,0
8331, Khác,thunc,1,,4091, Khác,2,,1,1,1,,,,,DTTD,1,
5005,Cước phát sinh trả sau thực_TDT,thunc,1,,4793,Cước phát sinh trả sau thực_TDT,2,,1,1,1,,,,,DTTD,2,1
5160,"Bộ thông thoại trên xe tăng, xe thiết giáp VIS",,1,,11121,"Bộ thông thoại trên xe tăng, xe thiết giáp VIS",2,,1,1,1,,,,,DTTD,2,
5208,Sản phẩm hệ sinh thái y tế,,1,,11169,Sản phẩm hệ sinh thái y tế,2,,1,1,1,,,,,DTTD,2,
210012,Doanh thu bản quyền,,,,5155,DT bản quyền,2,,1,1,1,,,,,DTTD,1,0
8920,DTDV&SX di động,thunc,1,,4287,DTDV&SX di động,2,,1,1,1,,,,,DTTD,1,0
10096,Khác,,,,5258,Khác,2,,1,1,1,,,,,DTTD,2,1
7151,"Xe tải từ 10 - 18 tấn, xe Container 20 feet",,,,200450,"Xe tải từ 10 - 18 tấn, xe Container 20 feet",84,,1,1,1,,,,,DTTD,2,1
5060,Radar 3D,,1,,11032,Radar 3D,2,,1,1,1,,,,,DTTD,2,
5292,Tên lửa,,1,,200278,Tên lửa,2,,1,1,1,,,,,DTTD,2,
10084,KHÁCH HÀNG CHÍNH PHỦ,,,,5246,KHÁCH HÀNG CHÍNH PHỦ,2,,1,1,1,,2021-11-25 09:08:13.000,"170635",,DTTD,2,0
8723,Chi phí kết nối quốc tế (RM Outnound),thunc,1,,4883,Chi phí kết nối quốc tế (RM Outnound),2,,1,1,1,,,,,CHI_PHI,2,
190066,Trung tâm quang điện tử,M3,1,,10070,Trung tâm quang điện tử,2,,1,1,1,NULL,2021-06-21 14:42:48.000,NULL,,DTTD,2,1
3264,Cáp quang thuê bao,M3,1,,10146,Cáp quang thuê bao,2,,1,1,1,NULL,2021-06-21 14:42:48.000,NULL,,DTTD,2,0
8338, Phí dịch vụ,thunc,1,,4098, Phí dịch vụ,2,,1,1,1,,,,,DTTD,1,
5174,Sản phẩm của M1-M3 (QCD),,1,,11135,Sản phẩm của M1-M3 (QCD),2,,1,1,1,,,,,DTTD,2,
8774,Dịch vụ,,1,,200200,Dịch vụ,2,,1,1,1,,,,,DTTD,2,1
7140,"Xe tải từ >18 tấn, xe Container 40 feet",,,,200439,"Xe tải từ >18 tấn, xe Container 40 feet",84,,1,1,1,,,,,DTTD,2,1
7262,"Xe <12 chỗ, xe tải < 2 tấn, xe bus",,,,200563,"Xe <12 chỗ, xe tải < 2 tấn, xe bus",84,,1,1,1,,,,,DTTD,2,1
31021,Chỉ tiêu 031021,,,,3541,Chỉ tiêu 031021,4,,906,1,1,,2020-10-04 05:58:32.000,slgb_admin_bi,,DTTD,,
190059,Cáp quang các loại,M3,1,,10063,Cáp quang các loại,2,,1,1,1,NULL,2021-06-21 14:42:48.000,NULL,,DTTD,2,1
8763,Thiết bị,,1,,200189,Thiết bị,2,,1,1,1,,,,,DTTD,2,1
