"SERVICE_ID","SERVICE_NAME"
1020,Doanh thu bán thẻ cào nội mạng
1020,Doanh thu bán thẻ cào nội mạng
1020,Doanh thu bán thẻ cào nội mạng
1020,Doanh thu bán thẻ cào nội mạng
1020,Doanh thu bán thẻ cào nội mạng
1020,Doanh thu bán thẻ cào nội mạng
1020,Doanh thu bán thẻ cào nội mạng
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120001,KD DVCNTT
120002,DT sản xuất
120003,DT dịch vụ
1201002,Tỷ lệ giao dịch có thời gian hoàn thành đúng hạn
20,Doanh thu di động
20,Doanh thu di động
69,Doanh thu cố định
69,Doanh thu cố định
111,Doanh thu giải pháp CNTT
111,Doanh thu giải pháp CNTT
111,Doanh thu giải pháp CNTT
111,Doanh thu giải pháp CNTT
114,Doanh thu kinh doanh quốc tế
114,Doanh thu kinh doanh quốc tế
114,Doanh thu kinh doanh quốc tế
114,Doanh thu kinh doanh quốc tế
114,Doanh thu kinh doanh quốc tế
114,Doanh thu kinh doanh quốc tế
114,Doanh thu kinh doanh quốc tế
1200000,Chuyển tiền
1200005,Nạp/Rút tiền
1200006,Dịch vụ viễn thông
1200015,Thu hộ (trừ viễn thông)
1200018,Chi hộ
1200021,Khác
1200491,Bán hộ
1200494,Merchant
1200497,"Dịch vụ tài chính (tiết kiệm-cho vay, đầu tư...)"
1200498,"Dịch vụ dữ liệu (Credit Score, data...)"
1200499,Sàn TMĐT
1044,Dịch vụ SMS
1044,Dịch vụ SMS
1041,Dịch vụ Khai thác Dữ liệu
1041,Dịch vụ Khai thác Dữ liệu
1041,Dịch vụ Khai thác Dữ liệu
1041,Dịch vụ Khai thác Dữ liệu
1141,TB phát sinh lưu lượng đi và đến (LK)
1142,TB phát sinh lưu lượng đi và đến (Tăng/giảm)
120002,DT sản xuất
120003,DT dịch vụ
851,DOANH THU ĐỐI TÁC NGOÀI
851,DOANH THU ĐỐI TÁC NGOÀI
851,DOANH THU ĐỐI TÁC NGOÀI
851,DOANH THU ĐỐI TÁC NGOÀI
851,DOANH THU ĐỐI TÁC NGOÀI
148,TD TK gốc TT
154,Cước phát sinh TS
1318,APRU
148,TD TK gốc TT
154,Cước phát sinh TS
1318,APRU
19,TỔNG DOANH THU (chi tiết)
19,TỔNG DOANH THU (chi tiết)
2160402,Thu nhập bình quân
3053,Doanh thu với các đơn vị ngoài Tập đoàn
157,Doanh thu cố định
157,Doanh thu cố định
2337,Doanh thu nội bộ 
200121,Dòng tiền ròng
7098,Doanh thu Kết nối
806,Thuê bao 4G (LK toàn mạng)
806,Thuê bao 4G (LK toàn mạng)
806,Thuê bao 4G (LK toàn mạng)
806,Thuê bao 4G (LK toàn mạng)
806,Thuê bao 4G (LK toàn mạng)
806,Thuê bao 4G (LK toàn mạng)
806,Thuê bao 4G (LK toàn mạng)
806,Thuê bao 4G (LK toàn mạng)
806,Thuê bao 4G (LK toàn mạng)
7098,Doanh thu Kết nối
7098,Doanh thu Kết nối
7095,Doanh thu phát hành thẻ
19,TỔNG DOANH THU (chi tiết)
19,TỔNG DOANH THU (chi tiết)
200118,Tổng doanh thu Tài chính
200118,Tổng doanh thu Tài chính
200118,Tổng doanh thu Tài chính
1560,Doanh thu Xi măng
1560,Doanh thu Xi măng
2045,Doanh thu sản phẩm dân sự
2048,Doanh thu xuất khẩu
2340,Doanh thu sản phẩm quân sự
3295,Khác
200100,Lợi nhuận
200118,Tổng doanh thu Tài chính
114,Doanh thu kinh doanh quốc tế
1200610,Dịch vụ game
1200610,Dịch vụ game
1200610,Dịch vụ game
1200612,Doanh thu quảng cáo
1200612,Doanh thu quảng cáo
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
1144,DOANH THU DỊCH VỤ (trừ hubbing)
1144,DOANH THU DỊCH VỤ (trừ hubbing)
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
200118,Tổng doanh thu Tài chính
200118,Tổng doanh thu Tài chính
200118,Tổng doanh thu Tài chính
200118,Tổng doanh thu Tài chính
200118,Tổng doanh thu Tài chính
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
115,Quốc tế
122,Roaming inbound
125,Kênh thuê riêng quốc tế
1728,Cước kết nối quốc tế
1200610,Dịch vụ game
1200610,Dịch vụ game
1200610,Dịch vụ game
1200610,Dịch vụ game
1200610,Dịch vụ game
1200609,"Các lĩnh vực mới (DDCN, ICT, KS VHKT, XHH,..)"
1200609,"Các lĩnh vực mới (DDCN, ICT, KS VHKT, XHH,..)"
2160400,Số lao động bình quân
2160400,Số lao động bình quân
200118,Tổng doanh thu Tài chính
200118,Tổng doanh thu Tài chính
19,TỔNG DOANH THU (chi tiết)
19,TỔNG DOANH THU (chi tiết)
19,TỔNG DOANH THU (chi tiết)
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
2430,Doanh thu nội bộ Tập đoàn
2430,Doanh thu nội bộ Tập đoàn
2430,Doanh thu nội bộ Tập đoàn
2430,Doanh thu nội bộ Tập đoàn
2430,Doanh thu nội bộ Tập đoàn
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
2434,Doanh thu ngoài Tập đoàn
2434,Doanh thu ngoài Tập đoàn
2434,Doanh thu ngoài Tập đoàn
2434,Doanh thu ngoài Tập đoàn
2434,Doanh thu ngoài Tập đoàn
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200612,Doanh thu quảng cáo
1200612,Doanh thu quảng cáo
19,TỔNG DOANH THU (chi tiết)
19,TỔNG DOANH THU (chi tiết)
21000118,Tổng doanh thu Tài chính
21000110,Chi phí
21000101,Lợi nhuận TT (không CLTG)
21000118,Tổng doanh thu Tài chính
21000110,Chi phí
21000101,Lợi nhuận TT (không CLTG)
2160402,Thu nhập bình quân
2160400,Số lao động bình quân
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
21000101,Lợi nhuận TT (không CLTG)
2434,Doanh thu ngoài Tập đoàn
2434,Doanh thu ngoài Tập đoàn
1200607,"Tư vấn thiết kế, GP kiển cố HTVT (KSTK, GP Kiên cố, TT nước ngoài)"
1200607,"Tư vấn thiết kế, GP kiển cố HTVT (KSTK, GP Kiên cố, TT nước ngoài)"
1200607,"Tư vấn thiết kế, GP kiển cố HTVT (KSTK, GP Kiên cố, TT nước ngoài)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
1200608,"Kiểm soát chất lượng (Giám sát, kiểm định, đô kiểm sóng)"
114,Doanh thu kinh doanh quốc tế
114,Doanh thu kinh doanh quốc tế
114,Doanh thu kinh doanh quốc tế
114,Doanh thu kinh doanh quốc tế
1200609,"Các lĩnh vực mới (DDCN, ICT, KS VHKT, XHH,..)"
1200609,"Các lĩnh vực mới (DDCN, ICT, KS VHKT, XHH,..)"
2430,Doanh thu nội bộ Tập đoàn
2430,Doanh thu nội bộ Tập đoàn
2430,Doanh thu nội bộ Tập đoàn
2430,Doanh thu nội bộ Tập đoàn
2430,Doanh thu nội bộ Tập đoàn
2430,Doanh thu nội bộ Tập đoàn
2430,Doanh thu nội bộ Tập đoàn
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
850,DOANH THU NỘI BỘ
20214133,DT dịch vụ nhóm DV của VTT
20214133,DT dịch vụ nhóm DV của VTT
20214133,DT dịch vụ nhóm DV của VTT
20214133,DT dịch vụ nhóm DV của VTT
20214133,DT dịch vụ nhóm DV của VTT
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
807,Thuê bao 4G tăng thêm
807,Thuê bao 4G tăng thêm
3052,Doanh thu các đơn vị trong Tập đoàn
3052,Doanh thu các đơn vị trong Tập đoàn
3052,Doanh thu các đơn vị trong Tập đoàn
3052,Doanh thu các đơn vị trong Tập đoàn
3052,Doanh thu các đơn vị trong Tập đoàn
3053,Doanh thu với các đơn vị ngoài Tập đoàn
3053,Doanh thu với các đơn vị ngoài Tập đoàn
3053,Doanh thu với các đơn vị ngoài Tập đoàn
3053,Doanh thu với các đơn vị ngoài Tập đoàn
3053,Doanh thu với các đơn vị ngoài Tập đoàn
3130,Kinh doanh In
3130,Kinh doanh In
3130,Kinh doanh In
3130,Kinh doanh In
3130,Kinh doanh In
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
5066,Doanh thu dịch vụ SME
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
970,"4G Lũy kế"
178,"3G Lũy kế"
176,"2G Lũy kế"
174,Di động Lũy kế
205,Tổng TB thực lũy kế
143,DOANH THU DỊCH VỤ (chi tiết)
20214133,DT dịch vụ nhóm DV của VTT
20214132,DT dịch vụ nhóm DV của VTS
20212510,DT dịch vụ nhóm DV của VDS
20214133,DT dịch vụ nhóm DV của VTT
157,Doanh thu cố định
5066,Doanh thu dịch vụ SME
20214124,DT khác (Kiddy+Smart)
1148,Tiêu dùng thực di động (TT+TS)
143,DOANH THU DỊCH VỤ (chi tiết)
9016,Tỷ lệ reactive lớn nhất 
9017,Tỷ lệ reactive nhỏ nhất
9018,Tỷ lệ reactive trung vị
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
143,DOANH THU DỊCH VỤ (chi tiết)
20,Doanh thu di động
20,Doanh thu di động
20,Doanh thu di động
20,Doanh thu di động
20,Doanh thu di động
2160400,Số lao động bình quân
2160400,Số lao động bình quân
20214132,DT dịch vụ nhóm DV của VTS
20214132,DT dịch vụ nhóm DV của VTS
1201002,Tỷ lệ giao dịch có thời gian hoàn thành đúng hạn
1201002,Tỷ lệ giao dịch có thời gian hoàn thành đúng hạn
1201002,Tỷ lệ giao dịch có thời gian hoàn thành đúng hạn
1201002,Tỷ lệ giao dịch có thời gian hoàn thành đúng hạn
1201002,Tỷ lệ giao dịch có thời gian hoàn thành đúng hạn
1201003,Tỷ lệ khách hàng trải nghiệm tồi dịch vụ
1201003,Tỷ lệ khách hàng trải nghiệm tồi dịch vụ
1201003,Tỷ lệ khách hàng trải nghiệm tồi dịch vụ
1201003,Tỷ lệ khách hàng trải nghiệm tồi dịch vụ
1201003,Tỷ lệ khách hàng trải nghiệm tồi dịch vụ
2160400,Số lao động bình quân
2160400,Số lao động bình quân
2043,Doanh thu nội bộ 
2180,Doanh thu nội bộ (Quỹ chuyên dùng)
2337,Doanh thu nội bộ 
1442,Doanh thu nội bộ
2043,Doanh thu nội bộ 
2180,Doanh thu nội bộ (Quỹ chuyên dùng)
2337,Doanh thu nội bộ 
1442,Doanh thu nội bộ
2043,Doanh thu nội bộ 
2180,Doanh thu nội bộ (Quỹ chuyên dùng)
2337,Doanh thu nội bộ 
1442,Doanh thu nội bộ
2043,Doanh thu nội bộ 
2180,Doanh thu nội bộ (Quỹ chuyên dùng)
2337,Doanh thu nội bộ 
1442,Doanh thu nội bộ
20214133,DT dịch vụ nhóm DV của VTT
157,Doanh thu cố định
1148,Tiêu dùng thực di động (TT+TS)
5066,Doanh thu dịch vụ SME
20214124,DT khác (Kiddy+Smart)
2160402,Thu nhập bình quân
20212510,DT dịch vụ nhóm DV của VDS
2182,Doanh thu sản phẩm dân sự
2182,Doanh thu sản phẩm dân sự
2182,Doanh thu sản phẩm dân sự
2182,Doanh thu sản phẩm dân sự
3278,Với các đơn vị trong Tập đoàn
3278,Với các đơn vị trong Tập đoàn
2160400,Số lao động bình quân
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
1439,"Tổng doanh thu (không bao gồm VTA, VTE, VTR)"
1439,"Tổng doanh thu (không bao gồm VTA, VTE, VTR)"
1439,"Tổng doanh thu (không bao gồm VTA, VTE, VTR)"
1439,"Tổng doanh thu (không bao gồm VTA, VTE, VTR)"
1439,"Tổng doanh thu (không bao gồm VTA, VTE, VTR)"
20214132,DT dịch vụ nhóm DV của VTS
20212510,DT dịch vụ nhóm DV của VDS
20212510,DT dịch vụ nhóm DV của VDS
1442,Doanh thu nội bộ
1442,Doanh thu nội bộ
1442,Doanh thu nội bộ
1442,Doanh thu nội bộ
1442,Doanh thu nội bộ
20212510,DT dịch vụ nhóm DV của VDS
20212510,DT dịch vụ nhóm DV của VDS
157,Doanh thu cố định
5066,Doanh thu dịch vụ SME
20214124,DT khác (Kiddy+Smart)
1148,Tiêu dùng thực di động (TT+TS)
157,Doanh thu cố định
1148,Tiêu dùng thực di động (TT+TS)
1148,Tiêu dùng thực di động (TT+TS)
20214132,DT dịch vụ nhóm DV của VTS
20212510,DT dịch vụ nhóm DV của VDS
2160402,Thu nhập bình quân
2160402,Thu nhập bình quân
2160402,Thu nhập bình quân
1148,Tiêu dùng thực di động (TT+TS)
148,TD TK gốc TT
20214132,DT dịch vụ nhóm DV của VTS
157,Doanh thu cố định
157,Doanh thu cố định
157,Doanh thu cố định
10174,DOANH THU DỊCH VỤ & SẢN XUẤT
10174,DOANH THU DỊCH VỤ & SẢN XUẤT
10174,DOANH THU DỊCH VỤ & SẢN XUẤT
10174,DOANH THU DỊCH VỤ & SẢN XUẤT
206,Thuê bao thực tăng thêm
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
206,Thuê bao thực tăng thêm
206,Thuê bao thực tăng thêm
143,DOANH THU DỊCH VỤ (chi tiết)
20214133,DT dịch vụ nhóm DV của VTT
5066,Doanh thu dịch vụ SME
20212510,DT dịch vụ nhóm DV của VDS
1201002,Tỷ lệ giao dịch có thời gian hoàn thành đúng hạn
1201106,Tỷ lệ cuộc gọi thoại bị rơi (Voice CDR)
1201106,Tỷ lệ cuộc gọi thoại bị rơi (Voice CDR)
1201106,Tỷ lệ cuộc gọi thoại bị rơi (Voice CDR)
1201106,Tỷ lệ cuộc gọi thoại bị rơi (Voice CDR)
20212743,Viettel 2743
20212744,Vinaphone 2744
20212745,Mobifone 2745
20212746,VietnamMobile 2746
20212747,Gtel đạt 2747
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
2160400,Số lao động bình quân
2485,Doanh thu Dự án
2485,Doanh thu Dự án
2485,Doanh thu Dự án
2485,Doanh thu Dự án
2485,Doanh thu Dự án
19,TỔNG DOANH THU (chi tiết)
19,TỔNG DOANH THU (chi tiết)
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
157,Doanh thu cố định
157,Doanh thu cố định
1148,Tiêu dùng thực di động (TT+TS)
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
157,Doanh thu cố định
1148,Tiêu dùng thực di động (TT+TS)
5066,Doanh thu dịch vụ SME
20214124,DT khác (Kiddy+Smart)
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
20214133,DT dịch vụ nhóm DV của VTT
143,DOANH THU DỊCH VỤ (chi tiết)
20214133,DT dịch vụ nhóm DV của VTT
20214132,DT dịch vụ nhóm DV của VTS
20212510,DT dịch vụ nhóm DV của VDS
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
206,Thuê bao thực tăng thêm
205,Tổng TB thực lũy kế
206,Thuê bao thực tăng thêm
206,Thuê bao thực tăng thêm
206,Thuê bao thực tăng thêm
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
143,DOANH THU DỊCH VỤ (chi tiết)
157,Doanh thu cố định
157,Doanh thu cố định
1148,Tiêu dùng thực di động (TT+TS)
20,Doanh thu di động
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
832,Phát Hành báo (PHB)
834,Văn Phòng Phẩm
8509,Vé máy bay
8510,Sàn Voso
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
275,FTTx - TB thực lũy kế
276,FTTx - TB thực tăng/giảm
143,DOANH THU DỊCH VỤ (chi tiết)
157,Doanh thu cố định
157,Doanh thu cố định
157,Doanh thu cố định
157,Doanh thu cố định
157,Doanh thu cố định
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
1025,Dịch vụ thanh toán điện tử
1044,Dịch vụ SMS
143,DOANH THU DỊCH VỤ (chi tiết)
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
806,Thuê bao 4G (LK toàn mạng)
807,Thuê bao 4G tăng thêm
