GROUPPROFILECODE,CYCLETIME,AREACODE,DASHBOARDID,DASHBOARDNAME
VPTD,1,N351,3565,Thuê bao di động phát triển thực
VPTD,1,N351,3566,Thuê bao 4G phát triển thực
VPTD,1,N351,3567,Tổng doanh thu dịch vụ
VPTD,1,N351,3568,Thuê bao register
VPTD,1,N351,3569,Doanh thu dịch vụ cố định băng rộng
VPTD,1,N351,3570,Doanh thu dịch vụ nhóm VTT
VPTD,1,N351,3571,Doanh thu dịch vụ nhóm VDS
VPTD,1,H039,3583,Doanh thu dịch vụ SME
VPTD,1,H039,3584,Doanh thu dịch vụ di động
VPTD,1,H039,3585,Doanh thu dịch vụ nhóm VTS
VPTD,1,H039,3586,Thuê bao FTTH
VPTD,1,H039,3587,Thuê bao di động phát triển thực
VPTD,1,H039,3588,Thuê bao 4G phát triển thực
VPTD,1,H039,3589,Tổng doanh thu dịch vụ
VPTD,1,H039,3590,Thuê bao register
VPTD,1,H039,3591,Doanh thu dịch vụ cố định băng rộng
VPTD,1,H039,3592,Doanh thu dịch vụ nhóm VTT
VPTD,1,H039,3593,Doanh thu dịch vụ nhóm VDS
VPTD,2,B240,3594,Doanh thu dịch vụ SME
VPTD,2,B240,3595,Doanh thu dịch vụ di động
VPTD,2,B240,3596,Doanh thu dịch vụ nhóm VTS
VPTD,2,B240,3597,Thuê bao FTTH
VPTD,2,B240,3598,Thuê bao di động phát triển thực
VPTD,2,B240,3599,Thuê bao 4G phát triển thực
VPTD,2,B240,3600,Tổng doanh thu dịch vụ
VPTD,2,B240,3601,Thuê bao register
VPTD,2,VDTC,3089,Tổng doanh thu tài chính
VPTD,2,VTP,2856,Lợi nhuận
VPTD,2,VTP,2857,Doanh thu dịch vụ
VPTD,2,VTP,2858,Thuê bao di động phát triển thực
VPTD,2,VTP,2859,Thuê bao 4G phát triển thực
VPTD,2,VTP,2861,Tổng doanh thu tài chính
VPTD,2,VTP,2862,Tổng doanh thu
VPTD,2,VTP,2863,Tiêu dùng thực di động
VPTD,2,VTP,2864,Thuê bao register
VPTD,2,VTP,2865,Dòng tiền ròng
VPTD,2,VTP,2866,VTP
VPTD,2,VTP,2867,Dòng tiền về VN
VPTD,2,XNK,3116,Doanh thu phân phối
VPTD,2,XMCP,3136,TỔNG DOANH THU (TC)
VPTD,1,ANM,3154,TỔNG DOANH THU (KD)
VPTD,1,IDC,3214,DOANH THU DỊCH VỤ
VPTD,2,IDC,3215,Dòng tiền ròng
VPTD,1,A076,3374,Doanh thu dịch vụ SME
VPTD,1,A076,3375,Doanh thu dịch vụ di động
VPTD,1,A076,3376,Doanh thu dịch vụ nhóm VTS
VPTD,1,A076,3377,Thuê bao FTTH
VPTD,1,A076,3378,Thuê bao di động phát triển thực
VPTD,1,A076,3379,Thuê bao 4G phát triển thực
VPTD,1,A076,3380,Tổng doanh thu dịch vụ
VPTD,1,A076,3381,Thuê bao register
VPTD,1,A076,3382,Doanh thu dịch vụ cố định băng rộng
VPTD,1,A076,3383,Doanh thu dịch vụ nhóm VTT
VPTD,1,A076,3384,Doanh thu dịch vụ nhóm VDS
VPTD,1,H711,3484,Doanh thu dịch vụ SME
VPTD,1,H711,3485,Doanh thu dịch vụ di động
VPTD,1,H711,3486,Doanh thu dịch vụ nhóm VTS
VPTD,1,H711,3487,Thuê bao FTTH
VPTD,1,D067,3356,Thuê bao FTTH
VPTD,1,D067,3335,Thuê bao di động phát triển thực
VPTD,1,D067,3336,Thuê bao 4G phát triển thực
VPTD,1,D067,3337,Tổng doanh thu dịch vụ
VPTD,1,H711,3488,Thuê bao di động phát triển thực
VPTD,1,D067,3339,Thuê bao register
VPTD,1,D067,3340,Doanh thu dịch vụ cố định băng rộng
VPTD,1,H711,3489,Thuê bao 4G phát triển thực
VPTD,1,H711,3490,Tổng doanh thu dịch vụ
VPTD,1,D067,3347,Doanh thu dịch vụ nhóm VTT
VPTD,1,D067,3354,Doanh thu dịch vụ nhóm VDS
VPTD,1,H711,3491,Thuê bao register
VPTD,1,H711,3492,Doanh thu dịch vụ cố định băng rộng
VPTD,1,H711,3493,Doanh thu dịch vụ nhóm VTT
VPTD,1,H711,3494,Doanh thu dịch vụ nhóm VDS
VPTD,2,H711,3495,Doanh thu dịch vụ SME
VPTD,2,H711,3496,Doanh thu dịch vụ di động
VPTD,2,H711,3497,Doanh thu dịch vụ nhóm VTS
VPTD,2,H711,3498,Thuê bao FTTH
VPTD,2,H711,3499,Thuê bao di động phát triển thực
VPTD,2,H711,3500,Thuê bao 4G phát triển thực
VPTD,2,H711,3501,Tổng doanh thu dịch vụ
VPTD,2,H711,3502,Thuê bao register
VPTD,2,H711,3503,Doanh thu dịch vụ cố định băng rộng
VPTD,2,H711,3504,Doanh thu dịch vụ nhóm VTT
VPTD,1,P057,4654,Doanh thu dịch vụ SME
VPTD,1,P057,4655,Doanh thu dịch vụ di động
VPTD,1,P057,4656,Doanh thu dịch vụ nhóm VTS
VPTD,1,P057,4657,Thuê bao FTTH
VPTD,1,P057,4658,Thuê bao di động phát triển thực
VPTD,1,P057,4659,Thuê bao 4G phát triển thực
VPTD,1,P057,4660,Tổng doanh thu dịch vụ
VPTD,1,P057,4661,Thuê bao register
VPTD,1,P057,4662,Doanh thu dịch vụ cố định băng rộng
VPTD,1,P057,4663,Doanh thu dịch vụ nhóm VTT
VPTD,1,P057,4664,Doanh thu dịch vụ nhóm VDS
VPTD,2,P057,4665,Doanh thu dịch vụ SME
VPTD,2,P057,4666,Doanh thu dịch vụ di động
VPTD,2,P057,4667,Doanh thu dịch vụ nhóm VTS
VPTD,2,P057,4668,Thuê bao FTTH
VPTD,2,P057,4669,Thuê bao di động phát triển thực
VPTD,2,P057,4670,Thuê bao 4G phát triển thực
VPTD,2,P057,4671,Tổng doanh thu dịch vụ
VPTD,2,P057,4672,Thuê bao register
VPTD,2,P057,4673,Doanh thu dịch vụ cố định băng rộng
VPTD,2,P057,4674,Doanh thu dịch vụ nhóm VTT
VPTD,2,P057,4675,Doanh thu dịch vụ nhóm VDS
VPTD,1,G059,4786,Doanh thu dịch vụ SME
VPTD,1,G059,4787,Doanh thu dịch vụ di động
VPTD,1,G059,4788,Doanh thu dịch vụ nhóm VTS
VPTD,1,G059,4789,Thuê bao FTTH
VPTD,1,G059,4790,Thuê bao di động phát triển thực
VPTD,1,H320,4864,Doanh thu dịch vụ nhóm VTT
VPTD,1,G059,4792,Tổng doanh thu dịch vụ
VPTD,1,G059,4793,Thuê bao register
VPTD,1,G059,4794,Doanh thu dịch vụ cố định băng rộng
VPTD,1,G059,4795,Doanh thu dịch vụ nhóm VTT
VPTD,1,G059,4796,Doanh thu dịch vụ nhóm VDS
VPTD,2,D061,4775,Doanh thu dịch vụ SME
VPTD,2,D061,4776,Doanh thu dịch vụ di động
VPTD,2,D061,4777,Doanh thu dịch vụ nhóm VTS
VPTD,2,D061,4778,Thuê bao FTTH
VPTD,2,D061,4779,Thuê bao di động phát triển thực
VPTD,2,D061,4780,Thuê bao 4G phát triển thực
VPTD,2,D061,4781,Tổng doanh thu dịch vụ
VPTD,2,D061,4782,Thuê bao register
VPTD,2,D061,4783,Doanh thu dịch vụ cố định băng rộng
VPTD,2,D061,4784,Doanh thu dịch vụ nhóm VTT
VPTD,2,D061,4785,Doanh thu dịch vụ nhóm VDS
VPTD,1,H320,4865,Doanh thu dịch vụ nhóm VDS
VPTD,1,H320,4866,Doanh thu dịch vụ SME
VPTD,1,H320,4867,Doanh thu dịch vụ di động
VPTD,1,H320,4868,Thuê bao register
VPTD,1,H320,4869,Doanh thu dịch vụ nhóm VTS
VPTD,1,H320,4870,Thuê bao FTTH
VPTD,1,H320,4871,Thuê bao di động phát triển thực
VPTD,1,H320,4872,Thuê bao 4G phát triển thực
VPTD,1,H320,4873,Tổng doanh thu dịch vụ
VPTD,1,H320,4874,Doanh thu dịch vụ cố định băng rộng
VPTD,1,VBD,5098,Doanh thu di động
VPTD,2,G059,4819,Doanh thu dịch vụ SME
VPTD,2,G059,4820,Doanh thu dịch vụ di động
VPTD,2,G059,4821,Doanh thu dịch vụ nhóm VTS
VPTD,2,G059,4822,Thuê bao FTTH
VPTD,2,G059,4823,Thuê bao di động phát triển thực
VPTD,2,G059,4824,Thuê bao 4G phát triển thực
VPTD,2,G059,4825,Tổng doanh thu dịch vụ
VPTD,2,G059,4826,Thuê bao register
VPTD,2,G059,4827,Doanh thu dịch vụ cố định băng rộng
VPTD,2,G059,4828,Doanh thu dịch vụ nhóm VTT
VPTD,2,G059,4829,Doanh thu dịch vụ nhóm VDS
VPTD,2,VHK,4895,VTX
VPTD,1,VBD,5100,Doanh thu giải pháp CNTT
VPTD,2,VHK,5097,DT CÁC ĐƠN VỊ
VPTD,1,VBD,5101,Doanh thu kinh doanh quốc tế
BCL,1,CTM,4917,6. Doanh thu dịch vụ và sản xuất
BCL,2,VTZ,4922,11. Doanh thu dịch vụ và sản xuất
BCL,1,VTZ,4923,6. Doanh thu dịch vụ và sản xuất
BCL,1,NAT,4936,Doanh thu dv và sx lũy kế (kinh doanh)
BCL,2,VDS,4938,5. Doanh thu dịch vụ và sản xuất
BCL,1,MOV,4940,Doanh thu dv và sx lũy kế (kinh doanh)
VPTD,2,XNK,4980,NĂNG SUẤT LAO ĐỘNG
BCL,1,VTL,4944,Doanh thu dv và sx lũy kế (kinh doanh)
BCL,2,VTZ,4948,Doanh thu kinh doanh Copy
VPTD,2,IDC,4959,LAO ĐỘNG BQ TRONG DS
VPTD,2,CT,4966,THU NHẬP BÌNH QUÂN
VPTD,2,TVTK,4979,LAO ĐỘNG BQ TRONG DS
VPTD,2,XNK,4981,THU NHẬP BÌNH QUÂN
VPTD,2,XNK,4982,LAO ĐỘNG BQ TRONG DS
VPTD,2,TH,4985,LAO ĐỘNG BQ TRONG DS
VPTD,2,M3,4989,NĂNG SUẤT LAO ĐỘNG
VPTD,2,M3,4990,THU NHẬP BÌNH QUÂN
VPTD,2,M3,4991,LAO ĐỘNG BQ TRONG DS
VPTD,2,M1,4992,NĂNG SUẤT LAO ĐỘNG
VPTD,2,M1,4993,THU NHẬP BÌNH QUÂN
VPTD,2,VNC,4996,LAO ĐỘNG BQ TRONG DS
VPTD,2,VHK,4998,LAO ĐỘNG BQ TRONG DS
VPTD,1,BC,4999,DT THƯƠNG MẠI VÀ DỊCH VỤ
VPTD,1,VTTNEWNEW,5017,Doanh thu di động
VPTD,2,BC,5016,DỊCH VỤ OS
VPTD,1,CT,5022,DT NĂNG LƯỢNG VÀ CƠ ĐIỆN
VPTD,2,VTTNEWNEW,5023,Doanh thu di động
VPTD,2,VTTNEWNEW,5025,Doanh thu dịch vụ mới
VPTD,2,CT,5026,DT HẠ TẦNG CHO THUÊ
VPTD,2,VTTNEWNEW,5027,Doanh thu dịch vụ nhóm SME
VPTD,2,VDTC,5037,Doanh thu dịch vụ GTGT
VPTD,2,VDTC,5036,Doanh thu kết nối
VPTD,1,VTC,5039,Doanh thu di động
VPTD,2,VTC,5041,Doanh thu cố định
VPTD,1,VTC,5044,Doanh thu kinh doanh quốc tế
VPTD,1,STL,5048,Doanh thu di động
VPTD,1,STL,5049,Doanh thu cố định
VPTD,1,STL,5051,Doanh thu kinh doanh quốc tế
VPTD,1,STL,5052,Doanh thu thương mại điện tử
VPTD,2,STL,5053,Doanh thu di động
VPTD,2,STL,5054,Doanh thu cố định
VPTD,2,STL,5056,Doanh thu kinh doanh quốc tế
VPTD,2,MOV,5064,Doanh thu di động
VPTD,2,NAT,5069,Doanh thu di động
VPTD,2,NAT,5070,Doanh thu cố định
VPTD,2,NAT,5071,Doanh thu giải pháp CNTT
VPTD,2,NAT,5072,Doanh thu thương mại điện tử
VPTD,1,NAT,5073,Doanh thu di động
VPTD,1,NAT,5076,Doanh thu thương mại điện tử
VPTD,1,VTL,5077,Doanh thu di động
VPTD,1,VTL,5079,Doanh thu giải pháp CNTT
VPTD,1,VTL,5080,Doanh thu kinh doanh quốc tế
VPTD,2,VTL,5082,Doanh thu di động
VPTD,2,VTL,5086,Doanh thu thương mại điện tử
VPTD,1,VTP,5089,Doanh thu giải pháp CNTT
VPTD,2,VTP,5092,Doanh thu di động
VPTD,2,VTP,5093,Doanh thu cố định
VPTD,1,VBD,5102,Doanh thu thương mại điện tử
VPTD,2,VHK,5104,DT CÁC ĐƠN VỊ BÊN NGOÀI
VPTD,2,VBD,5105,Doanh thu di động
VPTD,2,VBD,5109,Doanh thu thương mại điện tử
VPTD,1,IDC,5111,DOANH THU DỰ ÁN
VPTD,2,IDC,5114,DOANH THU DỊCH VỤ TRUYỀN THỐNG
VPTD,2,IDC,5115,CÁC DV CLOUD
VPTD,2,IDC,5117,DT CÁC ĐƠN VỊ NGOÀI TĐ
VPTD,2,IDC,5118,DT CÁC ĐƠN VỊ TRONG TĐ
VPTD,2,XNK,5123,DOANH THU KINH DOANH IN
VPTD,2,XNK,5126,DOANH THU KINH DOANH DVCNTT
VPTD,1,MYN,5133,MYN
VPTD,1,MYN,5128,DOANH THU DI ĐỘNG
VPTD,1,MYN,5130,DOANH THU GIẢI PHÁP CNTT
VPTD,2,MYN,5134,DOANH THU DI ĐỘNG
VPTD,2,MYN,5137,DOANH THU KINH DOANH QUỐC TẾ
VPTD,2,MYN,5138,DOANH THU THƯƠNG MẠI ĐIỆN TỬ
VPTD,1,VTZ,5139,Doanh thu di động
VPTD,1,VTZ,5140,Doanh thu cố định
VPTD,1,VTZ,5141,Doanh thu giải pháp CNTT
VPTD,1,VTZ,5142,Doanh thu kinh doanh quốc tế
VPTD,2,VTZ,5145,Doanh thu cố định
VPTD,2,VTZ,5146,Doanh thu giải pháp CNTT
VPTD,2,VTZ,5147,Doanh thu kinh doanh quốc tế
VPTD,2,VTZ,5148,Doanh thu thương mại điện tử
VPTD,2,XMCP,5151,TỔNG DOANH THU
VPTD,1,VDS,5155,DOANH THU CHUYỂN TIỀN
VPTD,2,VDS,5158,DOANH THU CHUYỂN TIỀN
VPTD,1,VDS,5162,DOANH THU THANH TOÁN
VPTD,2,VDS,5163,DOANH THU THANH TOÁN
VPTD,2,VTG,5454,LỢI NHUÂN TT (KHÔNG CLTG) Copy
VPTD,2,VTG,5455,Doanh thu hợp nhất Copy
VPTD,2,VTC,5456,LỢI NHUẬN TT (KHÔNG CLTG) Copy
VPTD,2,MOV,5459,LỢI NHUÂN TT (KHÔNG CLTG) Copy
VPTD,2,M3,5203,DT NỘI BỘ
VPTD,2,M3,5205,DT SẢN PHẨM DÂN SỰ
VPTD,2,M3,5206,DT SẢN PHẨM QUÂN SỰ
VPTD,2,M3,5207,DT TRONG NƯỚC
VPTD,2,M3,5209,GTSL CÁP QUANG
VPTD,2,M3,5211,GTSL CƠ KHÍ (KHÔNG CNC)
VPTD,2,M3,5213,DOANH THU CÁP QUANG
VPTD,2,VNC,5237,DT NỘI BỘ
VPTD,2,VNC,5239,DT SẢN PHẨM DÂN SỰ
VPTD,2,VNC,5240,DT SẢN PHẨM QUÂN SỰ
VPTD,2,VNC,5242,DT XUẤT KHẨU
VPTD,2,ANM,5254,DT TỪ KHÁCH HÀNG NGOÀI
VPTD,2,ANM,5255,DT QUỸ CHUYÊN DÙNG TỪ BQP
VPTD,2,ANM,5253,DT CÁC ĐƠN VỊ TRONG TĐ
VPTD,2,ANM,5256,DT DV GIÁM SÁT VÀ XỬ LÝ SỰ CỐ
VPTD,2,ANM,5258,DT DV CHO THUÊ/BÁN LICENSE
VPTD,1,KGM,5266,KHỐI PHÂN TÍCH DỮ LIỆU
VPTD,2,KGM,5269,DT NỘI BỘ TĐ
VPTD,2,KGM,5274,KHỐI XỬ LÝ TIẾNG NÓI VÀ NGÔN NGỮ TỰ NHIÊN
VPTD,2,KGM,5275,KHỐI THỊ GIÁC MÁY TÍNH
VPTD,1,NAT,5276,Doanh thu kinh doanh quốc tế
VPTD,2,NAT,5277,Doanh thu kinh doanh quốc tế
VPTD,2,TVTK,5286,TỔNG DOANH THU (KD)
VPTD,2,TVTK,5287,DT NỘI BỘ TĐ
VPTD,1,TH,5288,Doanh thu khách hàng nội bộ
VPTD,1,TH,5289,Doanh thu khách hàng ngoài
VPTD,1,TH,5290,Doanh thu dịch vụ game
VPTD,1,TH,5291,Doanh thu nội dung
VPTD,2,TH,5303,Doanh thu quảng cáo
VPTD,1,TVTK,5307,"TƯ VẤN TK, GP KIÊN CỐ HTVT"
VPTD,1,TVTK,5306,DT NGOÀI TĐ
VPTD,2,VDS,5315,Doanh thu dịch vụ
VPTD,2,VNC,5354,Tổng doanh thu tài chính
VPTD,2,VHK,5355,Tổng doanh thu tài chính
VPTD,2,M1,5356,Tổng doanh thu tài chính
VPTD,2,M3,5357,Tổng doanh thu tài chính
VPTD,2,VTL,5460,LỢI NHUÂN TT (KHÔNG CLTG) Copy
VPTD,2,VDTC,5435,THẺ CÓ NẠP TIỀN
VPTD,1,Q053,4676,Doanh thu dịch vụ SME
VPTD,1,Q053,4677,Doanh thu dịch vụ di động
VPTD,1,Q053,4678,Doanh thu dịch vụ nhóm VTS
VPTD,1,Q053,4679,Thuê bao FTTH
VPTD,1,Q053,4680,Thuê bao di động phát triển thực
VPTD,1,Q053,4681,Thuê bao 4G phát triển thực
VPTD,1,Q053,4682,Tổng doanh thu dịch vụ
VPTD,1,Q053,4683,Thuê bao register
VPTD,1,Q053,4684,Doanh thu dịch vụ cố định băng rộng
VPTD,1,Q053,4685,Doanh thu dịch vụ nhóm VTT
VPTD,1,Q053,4686,Doanh thu dịch vụ nhóm VDS
VPTD,2,Q053,4687,Doanh thu dịch vụ SME
VPTD,2,Q053,4688,Doanh thu dịch vụ di động
VPTD,2,Q053,4689,Doanh thu dịch vụ nhóm VTS
VPTD,2,Q053,4690,Thuê bao FTTH
VPTD,2,Q053,4691,Thuê bao di động phát triển thực
VPTD,2,Q053,4692,Thuê bao 4G phát triển thực
VPTD,2,Q053,4693,Tổng doanh thu dịch vụ
VPTD,2,Q053,4694,Thuê bao register
VPTD,2,Q053,4695,Doanh thu dịch vụ cố định băng rộng
VPTD,2,Q053,4696,Doanh thu dịch vụ nhóm VTT
VPTD,2,Q053,4697,Doanh thu dịch vụ nhóm VDS
VPTD,1,Q510,4720,Doanh thu dịch vụ nhóm VTT
VPTD,1,Q510,4721,Doanh thu dịch vụ nhóm VDS
VPTD,1,Q510,4722,Doanh thu dịch vụ SME
VPTD,1,Q510,4723,Doanh thu dịch vụ di động
VPTD,1,Q510,4724,Thuê bao register
VPTD,1,Q510,4725,Doanh thu dịch vụ nhóm VTS
VPTD,1,Q510,4726,Thuê bao FTTH
VPTD,1,Q510,4727,Thuê bao di động phát triển thực
VPTD,1,Q510,4728,Thuê bao 4G phát triển thực
VPTD,1,Q510,4729,Tổng doanh thu dịch vụ
VPTD,1,Q510,4730,Doanh thu dịch vụ cố định băng rộng
VPTD,1,D061,4764,Doanh thu dịch vụ SME
VPTD,1,D061,4765,Doanh thu dịch vụ di động
VPTD,1,D061,4766,Doanh thu dịch vụ nhóm VTS
VPTD,1,D061,4767,Thuê bao FTTH
VPTD,1,D061,4768,Thuê bao di động phát triển thực
VPTD,1,D061,4769,Thuê bao 4G phát triển thực
VPTD,1,D061,4770,Tổng doanh thu dịch vụ
VPTD,1,D061,4771,Thuê bao register
VPTD,1,D061,4772,Doanh thu dịch vụ cố định băng rộng
VPTD,1,D061,4773,Doanh thu dịch vụ nhóm VTT
VPTD,1,D061,4774,Doanh thu dịch vụ nhóm VDS
VPTD,2,D511,4842,Doanh thu dịch vụ di động
VPTD,2,D511,4843,Doanh thu dịch vụ nhóm VTS
VPTD,2,D511,4844,Thuê bao FTTH
VPTD,2,D511,4845,Thuê bao di động phát triển thực
VPTD,2,D511,4846,Thuê bao 4G phát triển thực
VPTD,2,D511,4847,Tổng doanh thu dịch vụ
VPTD,2,D511,4848,Thuê bao register
VPTD,2,D511,4849,Doanh thu dịch vụ cố định băng rộng
VPTD,2,D511,4850,Doanh thu dịch vụ nhóm VTT
VPTD,2,D511,4851,Doanh thu dịch vụ nhóm VDS
VPTD,2,H320,4853,Doanh thu dịch vụ SME
VPTD,1,D511,4830,Doanh thu dịch vụ SME
VPTD,1,D511,4831,Doanh thu dịch vụ di động
VPTD,1,D511,4832,Doanh thu dịch vụ nhóm VTS
VPTD,1,D511,4833,Thuê bao FTTH
VPTD,1,D511,4834,Thuê bao di động phát triển thực
VPTD,1,D511,4835,Thuê bao 4G phát triển thực
VPTD,1,D511,4836,Tổng doanh thu dịch vụ
VPTD,1,D511,4837,Thuê bao register
VPTD,1,D511,4838,Doanh thu dịch vụ cố định băng rộng
VPTD,1,D511,4839,Doanh thu dịch vụ nhóm VTT
VPTD,1,D511,4840,Doanh thu dịch vụ nhóm VDS
VPTD,2,D511,4841,Doanh thu dịch vụ SME
VPTD,2,H320,4854,Doanh thu dịch vụ di động
VPTD,2,H320,4855,Doanh thu dịch vụ nhóm VTS
VPTD,2,H320,4856,Thuê bao FTTH
VPTD,2,H320,4857,Thuê bao di động phát triển thực
VPTD,2,H320,4858,Thuê bao 4G phát triển thực
VPTD,2,H320,4859,Tổng doanh thu dịch vụ
VPTD,2,H320,4860,Thuê bao register
VPTD,2,H320,4861,Doanh thu dịch vụ cố định băng rộng
VPTD,2,H320,4862,Doanh thu dịch vụ nhóm VTT
VPTD,2,H320,4863,Doanh thu dịch vụ nhóm VDS
VPTD,2,VHK,4899,TỔNG DOANH THU (KD)
VPTD,2,VHK,4901,LỢI NHUẬN
VPTD,2,M3,4904,Lợi nhuận
VPTD,2,M3,4905,M3
VPTD,2,M3,4906,Giá trị sản lượng
VPTD,1,BC,5014,DỊCH VỤ OS
VPTD,2,M3,4908,TỔNG DOANH THU (KD)
VPTD,2,VTE,5520,VTE
BCL,2,TD,4916,11. Doanh thu dịch vụ và sản xuất
BCL,2,MYN,4918,11. Doanh thu dịch vụ và sản xuất
BCL,1,TN,4921,Doanh thu dịch vụ và sản xuất VTTN (Kinh doanh)
BCL,1,VTG,4928,Doanh thu dv và sx lũy kế (kinh doanh)
BCL,2,VTL,4945,Doanh thu dv và sx lũy kế (kinh doanh)
BCL,1,VTP,4946,Doanh thu dv và sx lũy kế (kinh doanh)
BCL,2,VTP,4947,Doanh thu dv và sx lũy kế (kinh doanh)
VPTD,2,VDTC,4968,THU NHẬP BÌNH QUÂN
VPTD,2,VTTNEWNEW,4975,Lao động BQ trong DS
VPTD,2,TD,4974,Lao động BQ trong DS
VPTD,2,TVTK,4978,THU NHẬP BÌNH QUÂN
VPTD,2,TH,4984,THU NHẬP BÌNH QUÂN
VPTD,2,VDS,4988,LAO ĐỘNG BQ TRONG DS
VPTD,2,M1,4994,LAO ĐỘNG BQ TRONG DS
VPTD,1,VTTNEWNEW,5020,Doanh thu dịch vụ nhóm SME
