,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Câu lệnh sinh ra,Câu lệnh có sẵn
36,36,36,36,"Rất quan trọng, mở trang chủ ngay lúc này",Mở trang chủ
37,37,37,37,Mở trang chủ làm ơn đi,Mở trang chủ
38,38,38,38,"Đừng trì hoãn, mở trang chủ đi",Mở trang chủ
39,39,39,39,Hãy mở trang chủ nhanh chóng,Mở trang chủ
40,40,40,40,"Đừng bỏ lỡ, hãy mở trang chủ",Mở trang chủ
41,41,41,41,Xin hãy truy cập trang chủ,Mở trang chủ
42,42,42,42,Đừng quên mở trang chủ,Mở trang chủ
43,43,43,43,Mở trang chủ không quá khó,Mở trang chủ
44,44,44,44,Mở trang chủ không tốn nhiều thời gian đâu,Mở trang chủ
45,45,45,45,Hãy truy cập trang chủ nào,Mở trang chủ
46,46,46,46,"Xin làm ơn, mở trang chủ đi",Mở trang chủ
47,47,47,47,"Đừng chần chừ, hãy mở trang chủ ngay",Mở trang chủ
48,48,48,48,Mở trang chủ đi làm ơn,Mở trang chủ
49,49,49,49,"Đừng bỏ qua, hãy mở trang chủ luôn",Mở trang chủ
50,50,50,50,Khởi động chương trình quản lý phản ánh,Mở quản lý phản ánh 
51,51,51,51,Mở ứng dụng quản lý phản ánh,Mở quản lý phản ánh 
52,52,52,52,Mở giao diện quản lý phản ánh,Mở quản lý phản ánh 
53,53,53,53,Kích hoạt chức năng quản lý phản ánh,Mở quản lý phản ánh 
54,54,54,54,Bắt đầu sử dụng chức năng phản ánh trong quản lý,Mở quản lý phản ánh 
55,55,55,55,Kích hoạt ứng dụng quản lý phản ánh,Mở quản lý phản ánh 
56,56,56,56,Bật chế độ quản lý phản ánh,Mở quản lý phản ánh 
57,57,57,57,Sử dụng tính năng quản lý phản ánh,Mở quản lý phản ánh 
58,58,58,58,Bật ứng dụng quản lý phản ánh,Mở quản lý phản ánh 
59,59,59,59,Sử dụng chế độ quản lý phản ánh,Mở quản lý phản ánh 
60,60,60,60,Mở phần mềm quản lý phản ánh,Mở quản lý phản ánh 
61,61,61,61,Kích hoạt tính năng quản lý phản ánh,Mở quản lý phản ánh 
62,62,62,62,Bắt đầu mở quản lý phản ánh,Mở quản lý phản ánh 
63,63,63,63,Mở chế độ quản lý phản ánh,Mở quản lý phản ánh 
64,64,64,64,Sử dụng ứng dụng quản lý phản ánh,Mở quản lý phản ánh 
65,65,65,65,Kích hoạt phần mềm quản lý phản ánh,Mở quản lý phản ánh 
66,66,66,66,Bật tính năng quản lý phản ánh,Mở quản lý phản ánh 
67,67,67,67,Bắt đầu sử dụng quản lý phản ánh,Mở quản lý phản ánh 
68,68,68,68,Mở chức năng quản lý phản ánh,Mở quản lý phản ánh 
69,69,69,69,Khởi chạy quản lý phản ánh,Mở quản lý phản ánh 
70,70,70,70,Kích hoạt giao diện quản lý phản ánh,Mở quản lý phản ánh 
71,71,71,71,Sử dụng phần mềm quản lý phản ánh,Mở quản lý phản ánh 
72,72,72,72,Bật chức năng quản lý phản ánh,Mở quản lý phản ánh 
73,73,73,73,Mở ứng dụng quản lý phản ánh lên,Mở quản lý phản ánh 
74,74,74,74,Sử dụng chế độ quản lý phản ánh trong ứng dụng,Mở quản lý phản ánh 
75,75,75,75,Kích hoạt tính năng quản lý phản ánh trong ứng dụng,Mở quản lý phản ánh 
76,76,76,76,Bắt đầu sử dụng quản lý phản ánh trong ứng dụng,Mở quản lý phản ánh 
77,77,77,77,Mở chức năng quản lý phản ánh của ứng dụng,Mở quản lý phản ánh 
78,78,78,78,Khởi chạy ứng dụng quản lý phản ánh,Mở quản lý phản ánh 
79,79,79,79,Kích hoạt chế độ quản lý phản ánh trong ứng dụng,Mở quản lý phản ánh 
80,80,80,80,Bật tính năng quản lý phản ánh của ứng dụng,Mở quản lý phản ánh 
81,81,81,81,Mở ứng dụng quản lý phản ánh lên và bắt đầu sử dụng,Mở quản lý phản ánh 
82,82,82,82,Sử dụng chức năng quản lý phản ánh trong ứng dụng mở,Mở quản lý phản ánh 
83,83,83,83,Kích hoạt tính năng quản lý phản ánh trong ứng dụng đã được khởi động,Mở quản lý phản ánh 
84,84,84,84,Bắt đầu sử dụng quản lý phản ánh trong ứng dụng đã mở,Mở quản lý phản ánh 
85,85,85,85,Mở chức năng quản lý phản ánh của ứng dụng đã được bật,Mở quản lý phản ánh 
86,86,86,86,Khởi chạy ứng dụng quản lý phản ánh trên thiết bị,Mở quản lý phản ánh 
87,87,87,87,Kích hoạt chế độ quản lý phản ánh trong ứng dụng đã mở,Mở quản lý phản ánh 
88,88,88,88,Bật tính năng quản lý phản ánh của ứng dụng đã được bật sẵn,Mở quản lý phản ánh 
89,89,89,89,Mở ứng dụng quản lý phản ánh và bắt đầu sử dụng chức năng,Mở quản lý phản ánh 
90,90,90,90,Sử dụng chức năng quản lý phản ánh trong ứng dụng đã khởi chạy,Mở quản lý phản ánh 
91,91,91,91,Kích hoạt tính năng quản lý phản ánh trong ứng dụng đã kích hoạt,Mở quản lý phản ánh 
92,92,92,92,Bắt đầu sử dụng quản lý phản ánh trong ứng dụng đã được sử dụng trước đó,Mở quản lý phản ánh 
93,93,93,93,Mở chức năng quản lý phản ánh của ứng dụng đã được mở,Mở quản lý phản ánh 
94,94,94,94,Khởi chạy ứng dụng quản lý phản ánh trên điện thoại di động,Mở quản lý phản ánh 
95,95,95,95,Kích hoạt chế độ quản lý phản ánh trong ứng dụng đã kích hoạt sẵn,Mở quản lý phản ánh 
96,96,96,96,Bật tính năng quản lý phản ánh của ứng dụng đã được bật sẵn trên thiết bị,Mở quản lý phản ánh 
97,97,97,97,Mở ứng dụng quản lý phản ánh và bắt đầu sử dụng chức năng quản lý,Mở quản lý phản ánh 
98,98,98,98,Sử dụng chức năng quản lý phản ánh trong ứng dụng đã được khởi chạy trước đó,Mở quản lý phản ánh 
99,99,99,99,Kích hoạt tính năng quản lý phản ánh trong ứng dụng đã kích hoạt trước đó,Mở quản lý phản ánh 
100,100,100,100,Hãy mở danh sách tổng quan,Mở danh mục chung 
101,101,101,101,Hãy mở danh sách chung,Mở danh mục chung 
102,102,102,102,Vui lòng mở danh sách tổng quan,Mở danh mục chung 
103,103,103,103,Xin hãy mở danh sách chung,Mở danh mục chung 
104,104,104,104,Mở danh sách tổng quan nhanh chóng,Mở danh mục chung 
105,105,105,105,Hãy mở danh sách chung ngay lập tức,Mở danh mục chung 
106,106,106,106,Vui lòng mở danh sách tổng quan mà không chậm trễ,Mở danh mục chung 
107,107,107,107,Xin mở danh sách chung ngay bây giờ,Mở danh mục chung 
108,108,108,108,Mở danh mục tổng quan không gian cách,Mở danh mục chung 
109,109,109,109,Hãy mở danh mục chung mà không để chờ lâu,Mở danh mục chung 
110,110,110,110,Vui lòng mở danh mục tổng quan càng sớm càng tốt,Mở danh mục chung 
111,111,111,111,Xin hãy mở danh sách chung ngay tức thì,Mở danh mục chung 
112,112,112,112,Mở danh mục tổng quan sẵn sàng,Mở danh mục chung 
113,113,113,113,Hãy mở danh mục chung một cách nhanh chóng,Mở danh mục chung 
114,114,114,114,Vui lòng mở danh mục tổng quan không trì hoãn,Mở danh mục chung 
115,115,115,115,Xin mở danh mục chung không chậm trễ,Mở danh mục chung 
116,116,116,116,Mở danh sách tổng quan một cách hiệu quả,Mở danh mục chung 
117,117,117,117,Hãy mở danh sách chung mà không để lâu,Mở danh mục chung 
118,118,118,118,Vui lòng mở danh sách tổng quan đúng lúc,Mở danh mục chung 
119,119,119,119,Xin hãy mở danh sách chung càng sớm càng tốt,Mở danh mục chung 
120,120,120,120,Mở danh mục tổng quan nhanh chóng và chính xác,Mở danh mục chung 
121,121,121,121,Hãy mở danh mục chung ngay lập tức và không lỡ lời,Mở danh mục chung 
122,122,122,122,Vui lòng mở danh mục tổng quan mà không chậm trễ,Mở danh mục chung 
123,123,123,123,Xin mở danh mục chung ngay bây giờ và đúng thời điểm,Mở danh mục chung 
124,124,124,124,Mở danh sách tổng quan miễn trì hoãn,Mở danh mục chung 
125,125,125,125,Hãy mở danh sách chung không để chờ đợi,Mở danh mục chung 
126,126,126,126,Vui lòng mở danh sách tổng quan ngay tức thì,Mở danh mục chung 
127,127,127,127,Xin hãy mở danh sách chung ngay lập tức,Mở danh mục chung 
128,128,128,128,Mở danh mục tổng quan sẵn sàng và chính xác,Mở danh mục chung 
129,129,129,129,Hãy mở danh mục chung một cách nhanh chóng và không mắc lỗi,Mở danh mục chung 
130,130,130,130,Vui lòng mở danh mục tổng quan không trì hoãn và chính xác,Mở danh mục chung 
131,131,131,131,Xin mở danh mục chung không chậm trễ và không sai sót,Mở danh mục chung 
132,132,132,132,Mở danh sách tổng quan một cách hiệu quả và đúng lúc,Mở danh mục chung 
133,133,133,133,Hãy mở danh sách chung mà không để lâu và không lỡ lời,Mở danh mục chung 
134,134,134,134,Vui lòng mở danh sách tổng quan đúng thời điểm và ngay lập tức,Mở danh mục chung 
135,135,135,135,Xin mở danh sách chung càng sớm càng tốt và không mắc lỗi,Mở danh mục chung 
136,136,136,136,Mở danh mục tổng quan nhanh chóng và mà không để chờ đợi,Mở danh mục chung 
137,137,137,137,Hãy mở danh mục chung ngay tức thì và không mắc sai sót,Mở danh mục chung 
138,138,138,138,Vui lòng mở danh mục tổng quan mà không chậm trễ và đúng lúc,Mở danh mục chung 
139,139,139,139,Xin mở danh mục chung ngay bây giờ và không lỡ lời,Mở danh mục chung 
140,140,140,140,Mở danh sách tổng quan miễn trì hoãn và không mắc lỗi,Mở danh mục chung 
141,141,141,141,Hãy mở danh sách chung không để chờ đợi và không sai sót,Mở danh mục chung 
142,142,142,142,Vui lòng mở danh sách tổng quan ngay tức thì và chính xác,Mở danh mục chung 
143,143,143,143,Xin mở danh sách chung ngay lập tức và không mắc lỗi,Mở danh mục chung 
144,144,144,144,Mở danh mục tổng quan sẵn sàng và không để chậm trễ,Mở danh mục chung 
145,145,145,145,Hãy mở danh mục chung một cách nhanh chóng và không mắc lỗi,Mở danh mục chung 
146,146,146,146,Vui lòng mở danh mục tổng quan không trì hoãn và không lỡ lời,Mở danh mục chung 
147,147,147,147,Xin mở danh mục chung không chậm trễ và không sai sót,Mở danh mục chung 
148,148,148,148,Mở danh sách tổng quan một cách hiệu quả và đúng lúc,Mở danh mục chung 
149,149,149,149,Hãy mở danh sách chung mà không để lâu và không mắc lỗi,Mở danh mục chung 
150,150,150,150,Tạo danh sách các chỉ tiêu,Mở danh mục chỉ tiêu
151,151,151,151,Liệt kê các chỉ tiêu,Mở danh mục chỉ tiêu
152,152,152,152,Đưa ra một bảng chỉ tiêu,Mở danh mục chỉ tiêu
153,153,153,153,Thiết lập danh sách chỉ tiêu,Mở danh mục chỉ tiêu
154,154,154,154,Chuẩn bị một báo cáo chỉ tiêu,Mở danh mục chỉ tiêu
155,155,155,155,Xây dựng sổ chỉ tiêu,Mở danh mục chỉ tiêu
156,156,156,156,Tạo ra một bộ chỉ tiêu,Mở danh mục chỉ tiêu
157,157,157,157,Đặt ra danh sách các chỉ số,Mở danh mục chỉ tiêu
158,158,158,158,Các chỉ tiêu cần được mở rộng,Mở danh mục chỉ tiêu
159,159,159,159,Phát triển một danh mục chỉ số,Mở danh mục chỉ tiêu
160,160,160,160,Danh sách các chỉ tiêu cần được xem xét,Mở danh mục chỉ tiêu
161,161,161,161,Đề xuất danh sách chỉ tiêu,Mở danh mục chỉ tiêu
162,162,162,162,Thiết lập một đề mục chỉ thị,Mở danh mục chỉ tiêu
163,163,163,163,Xác định danh sách chỉ tiêu,Mở danh mục chỉ tiêu
164,164,164,164,Chuẩn bị một tập danh sách chỉ tiêu,Mở danh mục chỉ tiêu
165,165,165,165,Đề xuất một chuẩn chỉ tiêu,Mở danh mục chỉ tiêu
166,166,166,166,Lập một sổ chỉ tiêu,Mở danh mục chỉ tiêu
167,167,167,167,Tổ chức danh sách chỉ tiêu,Mở danh mục chỉ tiêu
168,168,168,168,Đặt ra một danh sách chỉ tiêu cụ thể,Mở danh mục chỉ tiêu
169,169,169,169,Dựa trên danh sách chỉ tiêu đã xác định,Mở danh mục chỉ tiêu
170,170,170,170,Đồng ý với danh sách chỉ tiêu,Mở danh mục chỉ tiêu
171,171,171,171,Thảo luận về danh sách chỉ tiêu,Mở danh mục chỉ tiêu
172,172,172,172,Cải thiện danh sách chỉ tiêu,Mở danh mục chỉ tiêu
173,173,173,173,Phân loại danh sách chỉ tiêu,Mở danh mục chỉ tiêu
174,174,174,174,Xây dựng một danh sách chỉ tiêu mới,Mở danh mục chỉ tiêu
175,175,175,175,Triển khai danh sách chỉ tiêu,Mở danh mục chỉ tiêu
176,176,176,176,Đề xuất mở rộng danh sách chỉ tiêu,Mở danh mục chỉ tiêu
177,177,177,177,Tạo ra một danh sách chỉ tiêu có liên quan,Mở danh mục chỉ tiêu
178,178,178,178,Chuẩn bị một danh sách chỉ tiêu cụ thể,Mở danh mục chỉ tiêu
179,179,179,179,Xác định một tập chỉ tiêu,Mở danh mục chỉ tiêu
180,180,180,180,Đề xuất một báo cáo danh sách chỉ tiêu,Mở danh mục chỉ tiêu
181,181,181,181,Xây dựng danh sách các chỉ số cần đạt,Mở danh mục chỉ tiêu
182,182,182,182,Thiết lập một danh sách chỉ tiêu chi tiết,Mở danh mục chỉ tiêu
183,183,183,183,Phát triển một bản danh sách chỉ tiêu,Mở danh mục chỉ tiêu
184,184,184,184,Định nghĩa danh sách chỉ tiêu,Mở danh mục chỉ tiêu
185,185,185,185,Cải thiện danh sách chỉ tiêu hiện tại,Mở danh mục chỉ tiêu
186,186,186,186,Thảo luận về một danh mục chỉ tiêu mới,Mở danh mục chỉ tiêu
187,187,187,187,Triển khai danh sách chỉ tiêu đã chọn,Mở danh mục chỉ tiêu
188,188,188,188,Đề xuất mở rộng danh sách chỉ tiêu hiện có,Mở danh mục chỉ tiêu
189,189,189,189,Xây dựng danh sách chỉ tiêu phù hợp,Mở danh mục chỉ tiêu
190,190,190,190,Liệt kê các chỉ số đáng xem,Mở danh mục chỉ tiêu
191,191,191,191,Tạo một sổ chỉ tiêu mới,Mở danh mục chỉ tiêu
192,192,192,192,Mở rộng danh sách chỉ tiêu đã đề xuất,Mở danh mục chỉ tiêu
193,193,193,193,Chuẩn bị một danh sách chỉ tiêu chi tiết hơn,Mở danh mục chỉ tiêu
194,194,194,194,Xác định một tập chỉ tiêu cố định,Mở danh mục chỉ tiêu
195,195,195,195,Đề xuất một báo cáo chi tiết về chỉ tiêu,Mở danh mục chỉ tiêu
196,196,196,196,Xây dựng danh sách các chỉ số đã cố định,Mở danh mục chỉ tiêu
197,197,197,197,Thiết lập một danh sách chỉ tiêu hoàn chỉnh,Mở danh mục chỉ tiêu
198,198,198,198,Phát triển danh mục chỉ tiêu mới,Mở danh mục chỉ tiêu
199,199,199,199,Định nghĩa một danh sách chỉ tiêu liên quan,Mở danh mục chỉ tiêu
200,200,200,200,Quản lý nhóm đơn vị được mở,Mở quản lý nhóm đơn vị 
201,201,201,201,Mở chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
202,202,202,202,Vui lòng bật quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
203,203,203,203,Hãy kích hoạt tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
204,204,204,204,Theo dõi và điều khiển nhóm đơn vị đã được mở,Mở quản lý nhóm đơn vị 
205,205,205,205,Mở chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
206,206,206,206,Xin hãy khởi động chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
207,207,207,207,Bật chức năng quản lý nhóm đơn vị để sử dụng,Mở quản lý nhóm đơn vị 
208,208,208,208,Hãy mở chức năng quản lý nhóm đơn vị ngay,Mở quản lý nhóm đơn vị 
209,209,209,209,Đảm bảo quản lý nhóm đơn vị đã được mở,Mở quản lý nhóm đơn vị 
210,210,210,210,Tắt chế độ không cho phép quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
211,211,211,211,Hủy chức năng quản lý nhóm đơn vị đang mở,Mở quản lý nhóm đơn vị 
212,212,212,212,Vui lòng không mở chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
213,213,213,213,Xin hãy tắt tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
214,214,214,214,Tắt hoạt động quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
215,215,215,215,Đóng chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
216,216,216,216,Hãy vô hiệu hóa chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
217,217,217,217,Ngừng hoạt động tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
218,218,218,218,Xin hãy không mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
219,219,219,219,Không cho phép mở chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
220,220,220,220,Mở chế độ kiểm soát nhóm đơn vị,Mở quản lý nhóm đơn vị 
221,221,221,221,Hãy kích hoạt chức năng quản lý đơn vị theo nhóm,Mở quản lý nhóm đơn vị 
222,222,222,222,Thiết lập mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
223,223,223,223,Xin hãy mở quản lý nhóm đơn vị cho tính năng này,Mở quản lý nhóm đơn vị 
224,224,224,224,Hãy bật chức năng quản lý đơn vị theo nhóm,Mở quản lý nhóm đơn vị 
225,225,225,225,Kích hoạt chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
226,226,226,226,Vui lòng mở tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
227,227,227,227,Xin hãy đảm bảo rằng quản lý nhóm đơn vị đã được kích hoạt,Mở quản lý nhóm đơn vị 
228,228,228,228,Đảm bảo rằng chức năng quản lý nhóm đơn vị đã được bật,Mở quản lý nhóm đơn vị 
229,229,229,229,Hãy chắc chắn rằng tính năng quản lý nhóm đơn vị đã được mở,Mở quản lý nhóm đơn vị 
230,230,230,230,Mở kiểm soát đơn vị theo nhóm để sử dụng,Mở quản lý nhóm đơn vị 
231,231,231,231,Kích hoạt hoạt động quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
232,232,232,232,Thông báo đã mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
233,233,233,233,Cảnh báo Chức năng quản lý nhóm đơn vị đã được mở,Mở quản lý nhóm đơn vị 
234,234,234,234,Xin hãy bắt đầu mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
235,235,235,235,Bật quản lý nhóm đơn vị để sử dụng tính năng này,Mở quản lý nhóm đơn vị 
236,236,236,236,Khởi động kiểm soát nhóm đơn vị,Mở quản lý nhóm đơn vị 
237,237,237,237,Mở chế độ quản lý đơn vị theo nhóm để sử dụng,Mở quản lý nhóm đơn vị 
238,238,238,238,Vui lòng kích hoạt quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
239,239,239,239,Xin hãy bật chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
240,240,240,240,Hãy mở chức năng kiểm soát nhóm đơn vị ngay lập tức,Mở quản lý nhóm đơn vị 
241,241,241,241,Đảm bảo quản lý nhóm đơn vị đã được khởi động,Mở quản lý nhóm đơn vị 
242,242,242,242,Tắt chế độ không cho phép quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
243,243,243,243,Xin hãy hủy chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
244,244,244,244,Tắt tính năng kiểm soát nhóm đơn vị đang mở,Mở quản lý nhóm đơn vị 
245,245,245,245,Vui lòng không mở chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
246,246,246,246,Xin hãy vô hiệu hóa chức năng kiểm soát nhóm đơn vị,Mở quản lý nhóm đơn vị 
247,247,247,247,Ngừng hoạt động tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
248,248,248,248,Xin hãy khóa quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
249,249,249,249,Mở chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
250,250,250,250,Thiết lập chu kỳ mặc định cho quản lý,Mở quản lý chu kỳ mặc định 
251,251,251,251,Đặt chu kỳ mặc định cho hệ thống quản lý,Mở quản lý chu kỳ mặc định 
252,252,252,252,Cấu hình quản lý với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
253,253,253,253,Khởi tạo quản lý với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
254,254,254,254,Xác định chu kỳ mặc định cho quản lý,Mở quản lý chu kỳ mặc định 
255,255,255,255,Kích hoạt chu kỳ mặc định trong quản lý,Mở quản lý chu kỳ mặc định 
256,256,256,256,Áp dụng chu kỳ mặc định vào quản lý,Mở quản lý chu kỳ mặc định 
257,257,257,257,Thiết đặt quản lý với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
258,258,258,258,Đăng ký chu kỳ mặc định cho quản lý,Mở quản lý chu kỳ mặc định 
259,259,259,259,Sử dụng chu kỳ mặc định trong quản lý,Mở quản lý chu kỳ mặc định 
260,260,260,260,Chọn chu kỳ mặc định cho quản lý,Mở quản lý chu kỳ mặc định 
261,261,261,261,Định nghĩa chu kỳ mặc định trong quản lý,Mở quản lý chu kỳ mặc định 
262,262,262,262,Gán chu kỳ mặc định đến quản lý,Mở quản lý chu kỳ mặc định 
263,263,263,263,Điều chỉnh quản lý với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
264,264,264,264,Thay đổi chu kỳ mặc định của quản lý,Mở quản lý chu kỳ mặc định 
265,265,265,265,Đặt chu kỳ mặc định cho bảng điều khiển quản lý,Mở quản lý chu kỳ mặc định 
266,266,266,266,Mở quản lý với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
267,267,267,267,Chỉnh sửa chu kỳ mặc định trong quản lý,Mở quản lý chu kỳ mặc định 
268,268,268,268,Xác định chu kỳ mặc định cho bộ quản lý,Mở quản lý chu kỳ mặc định 
269,269,269,269,Thiết lập bước chu kỳ mặc định trong quản lý,Mở quản lý chu kỳ mặc định 
270,270,270,270,Đăng ký chu kỳ mặc định vào bộ quản lý,Mở quản lý chu kỳ mặc định 
271,271,271,271,Sử dụng chu kỳ mặc định để quản lý,Mở quản lý chu kỳ mặc định 
272,272,272,272,Kích hoạt chu kỳ mặc định của quản lý,Mở quản lý chu kỳ mặc định 
273,273,273,273,Đặt chu kỳ mặc định cho hệ thống quản lý,Mở quản lý chu kỳ mặc định 
274,274,274,274,Áp dụng chu kỳ mặc định đến quản lý bảng điều khiển,Mở quản lý chu kỳ mặc định 
275,275,275,275,Cấu hình quản lý với chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
276,276,276,276,Thiết đặt bước chu kỳ mặc định cho quản lý,Mở quản lý chu kỳ mặc định 
277,277,277,277,Định nghĩa chu kỳ mặc định của bộ quản lý,Mở quản lý chu kỳ mặc định 
278,278,278,278,Thay đổi chu kỳ mặc định của quản lý bảng điều khiển,Mở quản lý chu kỳ mặc định 
279,279,279,279,Gán chu kỳ mặc định cho hệ thống quản lý,Mở quản lý chu kỳ mặc định 
280,280,280,280,Chỉnh sửa chu kỳ mặc định của bảng điều khiển quản lý,Mở quản lý chu kỳ mặc định 
281,281,281,281,Đăng ký chu kỳ mặc định vào hệ thống quản lý,Mở quản lý chu kỳ mặc định 
282,282,282,282,Sử dụng chu kỳ mặc định để cấu hình quản lý,Mở quản lý chu kỳ mặc định 
283,283,283,283,Kích hoạt chu kỳ mặc định cho quản lý bảng điều khiển,Mở quản lý chu kỳ mặc định 
284,284,284,284,Xác định chu kỳ mặc định cho bảng điều khiển quản lý,Mở quản lý chu kỳ mặc định 
285,285,285,285,Thiết lập chu kỳ mặc định của hệ thống quản lý,Mở quản lý chu kỳ mặc định 
286,286,286,286,Đặt chu kỳ mặc định cho quy trình quản lý,Mở quản lý chu kỳ mặc định 
287,287,287,287,Áp dụng chu kỳ mặc định vào bảng điều khiển quản lý,Mở quản lý chu kỳ mặc định 
288,288,288,288,Cấu hình quản lý bằng chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
289,289,289,289,Thiết đặt quản lý với chu kỳ mặc định predefined,Mở quản lý chu kỳ mặc định 
290,290,290,290,Đăng ký chu kỳ mặc định cho quy trình quản lý,Mở quản lý chu kỳ mặc định 
291,291,291,291,Sử dụng chu kỳ mặc định trong quản lý hệ thống,Mở quản lý chu kỳ mặc định 
292,292,292,292,Kích hoạt chu kỳ mặc định trong quản lý bảng điều khiển,Mở quản lý chu kỳ mặc định 
293,293,293,293,Đặt chu kỳ mặc định cho hệ thống quản lý dự án,Mở quản lý chu kỳ mặc định 
294,294,294,294,Áp dụng chu kỳ mặc định đến bảng điều khiển quản lý,Mở quản lý chu kỳ mặc định 
295,295,295,295,Cấu hình quản lý bằng chu kỳ mặc định đã được định nghĩa,Mở quản lý chu kỳ mặc định 
296,296,296,296,Thiết lập quản lý với chu kỳ mặc định predefined,Mở quản lý chu kỳ mặc định 
