,Câu lệnh sinh ra,Câu lệnh có sẵn
142,Xin vui lòng mở danh sách tổng quan chính tổng quan,Mở danh mục chung 
143,Mở trình duyệt danh mục chính tổng quan,Mở danh mục chung 
144,Hãy truy cập vào danh sách chính tổng quan điều khiển,Mở danh mục chung 
145,Xin vui lòng mở danh sách tổng quan chính tổng quan điều khiển,Mở danh mục chung 
146,Mở danh sách chính điều khiển tổng quan,Mở danh mục chung 
147,Hãy mở danh sách chính tổng quan lên,Mở danh mục chung 
148,Xin vui lòng mở danh sách tổng quan chính tổng quan,Mở danh mục chung 
149,Mở danh sách chính tổng quan điều khiển,Mở danh mục chung 
150,Hãy bắt đầu bằng việc mở danh mục chỉ tiêu,Mở danh mục chỉ tiêu
151,Xin hãy tiến hành mở danh mục chỉ tiêu,Mở danh mục chỉ tiêu
152,"Để bắt đầu, hãy mở danh sách các mục tiêu",Mở danh mục chỉ tiêu
153,Hãy khởi tạo danh mục chỉ tiêu từ đầu,Mở danh mục chỉ tiêu
154,Hãy bắt đầu bằng việc mở danh sách mục tiêu,Mở danh mục chỉ tiêu
155,Xin vui lòng tiến hành mở danh sách mục tiêu,Mở danh mục chỉ tiêu
156,"Để bắt đầu, hãy khởi động danh sách mục tiêu",Mở danh mục chỉ tiêu
157,Xin hãy mở danh mục chỉ tiêu ngay từ đầu,Mở danh mục chỉ tiêu
158,Hãy khởi tạo danh mục chỉ tiêu một cách cẩn thận,Mở danh mục chỉ tiêu
159,Hãy mở danh sách mục tiêu một cách tỉ mỉ,Mở danh mục chỉ tiêu
160,Xin vui lòng tiến hành mở danh sách chỉ tiêu cẩn thận,Mở danh mục chỉ tiêu
161,"Để bắt đầu, hãy khởi đầu danh sách mục tiêu cụ thể",Mở danh mục chỉ tiêu
162,Hãy mở danh mục chỉ tiêu cụ thể,Mở danh mục chỉ tiêu
163,Hãy khởi đầu danh sách mục tiêu ngay lập tức,Mở danh mục chỉ tiêu
164,Xin hãy tiến hành mở danh sách chỉ tiêu ngay bây giờ,Mở danh mục chỉ tiêu
165,"Để bắt đầu, hãy khởi đầu danh mục chỉ tiêu cụ thể",Mở danh mục chỉ tiêu
166,Hãy mở danh sách mục tiêu cụ thể theo cách mà bạn muốn,Mở danh mục chỉ tiêu
167,Hãy khởi đạt danh mục chỉ tiêu ngay từ hiện tại,Mở danh mục chỉ tiêu
168,Xin vui lòng tiến hành mở danh mục chỉ tiêu hiện tại,Mở danh mục chỉ tiêu
169,"Để bắt đầu, hãy khởi tạo danh sách mục tiêu theo thời gian",Mở danh mục chỉ tiêu
170,Hãy mở danh mục chỉ tiêu theo thời gian mong muốn,Mở danh mục chỉ tiêu
171,Hãy khởi đầu danh sách mục tiêu từ bây giờ,Mở danh mục chỉ tiêu
172,Xin hãy tiến hành mở danh sách chỉ tiêu từ thời điểm này,Mở danh mục chỉ tiêu
173,"Để bắt đầu, hãy khởi tạo danh mục mục tiêu trong hiện tại",Mở danh mục chỉ tiêu
174,Hãy mở danh sách mục tiêu trong hiện tại,Mở danh mục chỉ tiêu
175,Hãy khởi đầu danh mục chỉ tiêu dựa trên hiện tại,Mở danh mục chỉ tiêu
176,Xin vui lòng tiến hành mở danh mục chỉ tiêu từ thời điểm hiện tại,Mở danh mục chỉ tiêu
177,"Để bắt đầu, hãy khởi tạo danh sách mục tiêu hiện tại ngay",Mở danh mục chỉ tiêu
178,Hãy mở danh mục chỉ tiêu hiện tại ngay lập tức,Mở danh mục chỉ tiêu
179,Hãy khởi đầu danh sách mục tiêu từ thời điểm hiện tại,Mở danh mục chỉ tiêu
180,Xin hãy tiến hành mở danh sách chỉ tiêu ngay bây giờ,Mở danh mục chỉ tiêu
181,"Để bắt đầu, hãy khởi động danh mục chỉ tiêu ngay lập tức",Mở danh mục chỉ tiêu
182,Hãy mở danh mục chỉ tiêu ngay từ đầu,Mở danh mục chỉ tiêu
183,Hãy khởi đạt danh mục mục tiêu một cách cẩn thận,Mở danh mục chỉ tiêu
184,Xin vui lòng tiến hành mở danh sách mục tiêu một cách tỉ mỉ,Mở danh mục chỉ tiêu
185,"Để bắt đầu, hãy khởi đạt danh mục chỉ tiêu cụ thể",Mở danh mục chỉ tiêu
186,Hãy mở danh mục chỉ tiêu cụ thể,Mở danh mục chỉ tiêu
187,Hãy khởi tạo danh sách mục tiêu ngay lập tức,Mở danh mục chỉ tiêu
188,Xin hãy tiến hành mở danh sách chỉ tiêu ngay từ đầu,Mở danh mục chỉ tiêu
189,"Để bắt đầu, hãy khởi đạt danh mục chỉ tiêu cụ thể",Mở danh mục chỉ tiêu
190,Hãy mở danh mục chỉ tiêu ngay từ hiện tại,Mở danh mục chỉ tiêu
191,Hãy khởi đầu danh sách mục tiêu hiện tại,Mở danh mục chỉ tiêu
192,Xin vui lòng tiến hành mở danh sách chỉ tiêu từ thời điểm này,Mở danh mục chỉ tiêu
193,"Để bắt đầu, hãy khởi đạt danh mục chỉ tiêu trong hiện tại",Mở danh mục chỉ tiêu
194,Hãy mở danh mục chỉ tiêu trong hiện tại,Mở danh mục chỉ tiêu
195,Hãy khởi tạo danh sách mục tiêu dựa trên hiện tại,Mở danh mục chỉ tiêu
196,Xin hãy tiến hành mở danh mục chỉ tiêu từ thời điểm hiện tại,Mở danh mục chỉ tiêu
197,"Để bắt đầu, hãy khởi động danh mục chỉ tiêu từ thời điểm hiện tại",Mở danh mục chỉ tiêu
198,Hãy mở danh mục chỉ tiêu hiện tại ngay từ đầu,Mở danh mục chỉ tiêu
199,Hãy khởi đầu danh sách mục tiêu từ thời điểm hiện tại,Mở danh mục chỉ tiêu
200,Khởi động chương trình quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
201,Bắt đầu mở chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
202,Kích hoạt việc quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
203,Thực hiện mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
204,Bật chế độ quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
205,Mở khóa tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
206,Đưa ra lệnh mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
207,Bắt đầu thực hiện công việc quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
208,Cho phép truy cập vào chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
209,Active tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
210,Đặt chế độ mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
211,Khởi chạy quy trình quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
212,Kích hoạt chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
213,Bật tính năng mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
214,Thực hiện mở quản lý cho nhóm đơn vị,Mở quản lý nhóm đơn vị 
215,Mở khóa tính năng quản lý cho nhóm đơn vị,Mở quản lý nhóm đơn vị 
216,Đưa ra lệnh mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
217,Bắt đầu thực hiện công việc quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
218,Cho phép truy cập vào chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
219,Active tính năng quản lý nhóm đơn vị trong hệ thống,Mở quản lý nhóm đơn vị 
220,Khởi chạy quy trình quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
221,Kích hoạt chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
222,Bật tính năng mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
223,Thực hiện mở quản lý cho nhóm đơn vị,Mở quản lý nhóm đơn vị 
224,Mở khóa tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
225,Đưa ra lệnh mở quản lý cho nhóm đơn vị,Mở quản lý nhóm đơn vị 
226,Bắt đầu thực hiện công việc quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
227,Cho phép truy cập vào chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
228,Active tính năng quản lý nhóm đơn vị trong hệ thống,Mở quản lý nhóm đơn vị 
229,Khởi chạy quy trình quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
230,Kích hoạt chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
231,Bật tính năng mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
232,Thực hiện mở quản lý cho nhóm đơn vị,Mở quản lý nhóm đơn vị 
233,Mở khóa tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
234,Đưa ra lệnh mở quản lý cho nhóm đơn vị,Mở quản lý nhóm đơn vị 
235,Bắt đầu thực hiện công việc quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
236,Cho phép truy cập vào chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
237,Active tính năng quản lý nhóm đơn vị trong hệ thống,Mở quản lý nhóm đơn vị 
238,Khởi chạy quy trình quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
239,Kích hoạt chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
240,Bật tính năng mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
241,Thực hiện mở quản lý cho nhóm đơn vị,Mở quản lý nhóm đơn vị 
242,Mở khóa tính năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
243,Đưa ra lệnh mở quản lý cho nhóm đơn vị,Mở quản lý nhóm đơn vị 
244,Bắt đầu thực hiện công việc quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
245,Cho phép truy cập vào chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
246,Active tính năng quản lý nhóm đơn vị trong hệ thống,Mở quản lý nhóm đơn vị 
247,Khởi chạy quy trình quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
248,Kích hoạt chức năng quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
249,Bật tính năng mở quản lý nhóm đơn vị,Mở quản lý nhóm đơn vị 
250,Thiết lập chu kỳ mặc định vào,Mở quản lý chu kỳ mặc định 
251,Hãy đặt chu kỳ mặc định là hiệu lực,Mở quản lý chu kỳ mặc định 
252,Đặt chu kỳ mặc định là chính quy,Mở quản lý chu kỳ mặc định 
253,Sửa đổi chu kỳ mặc định hiện tại,Mở quản lý chu kỳ mặc định 
254,Biến đổi chu kỳ mặc định thành một giá trị mới,Mở quản lý chu kỳ mặc định 
255,Áp dụng chu kỳ mặc định hiện tại,Mở quản lý chu kỳ mặc định 
256,Áp dụng lại chu kỳ mặc định ban đầu,Mở quản lý chu kỳ mặc định 
257,Đổi chu kỳ mặc định sang một chu kỳ khác,Mở quản lý chu kỳ mặc định 
258,Thay đổi chu kỳ mặc định thành chu kỳ tùy chỉnh,Mở quản lý chu kỳ mặc định 
259,Cấu hình chu kỳ mặc định cho hệ thống,Mở quản lý chu kỳ mặc định 
260,Cho phép sửa đổi chu kỳ mặc định của bạn,Mở quản lý chu kỳ mặc định 
261,Tùy chỉnh chu kỳ mặc định theo nhu cầu của bạn,Mở quản lý chu kỳ mặc định 
262,Mở khóa quản lý chu kỳ mặc định,Mở quản lý chu kỳ mặc định 
263,Cài đặt chu kỳ mặc định cho tất cả người dùng,Mở quản lý chu kỳ mặc định 
264,Đặt chu kỳ mặc định là lựa chọn phổ biến,Mở quản lý chu kỳ mặc định 
265,Đăng ký chu kỳ mặc định cho tài khoản của bạn,Mở quản lý chu kỳ mặc định 
266,Thay đổi chu kỳ mặc định thành tuỳ chỉnh,Mở quản lý chu kỳ mặc định 
267,Áp dụng chu kỳ mặc định cho tất cả các tài khoản,Mở quản lý chu kỳ mặc định 
268,Đặt lại chu kỳ mặc định cho hệ thống,Mở quản lý chu kỳ mặc định 
269,Mở quản lý chu kỳ mặc định hệ thống,Mở quản lý chu kỳ mặc định 
270,Áp dụng chu kỳ mặc định cho danh sách này,Mở quản lý chu kỳ mặc định 
271,Cài đặt chu kỳ mặc định theo phương pháp này,Mở quản lý chu kỳ mặc định 
272,Thiết lập chu kỳ mặc định cho các thành viên mới,Mở quản lý chu kỳ mặc định 
273,Đổi chu kỳ mặc định sang một giá trị đã cấu hình,Mở quản lý chu kỳ mặc định 
274,Thay đổi cài đặt chu kỳ mặc định theo nhu cầu,Mở quản lý chu kỳ mặc định 
275,Cho phép chỉnh sửa chu kỳ mặc định của bạn,Mở quản lý chu kỳ mặc định 
276,Xác định chu kỳ mặc định cho phiên bản mới,Mở quản lý chu kỳ mặc định 
277,Đặt chu kỳ mặc định là tuỳ chỉnh hóa,Mở quản lý chu kỳ mặc định 
278,Sửa đổi chu kỳ mặc định cho mỗi danh sách,Mở quản lý chu kỳ mặc định 
279,Đặt lại chu kỳ mặc định sau khi hoàn tất quá trình,Mở quản lý chu kỳ mặc định 
280,Áp dụng chu kỳ mặc định theo quyết định của bạn,Mở quản lý chu kỳ mặc định 
281,Thiết lập chu kỳ mặc định là tùy chỉnh,Mở quản lý chu kỳ mặc định 
282,Đổi chu kỳ mặc định theo lựa chọn cá nhân,Mở quản lý chu kỳ mặc định 
283,Thay đổi chu kỳ mặc định hàng ngày,Mở quản lý chu kỳ mặc định 
284,Cài đặt lại chu kỳ mặc định cho người dùng,Mở quản lý chu kỳ mặc định 
285,Đặt chu kỳ mặc định cho các sự kiện tương lai,Mở quản lý chu kỳ mặc định 
286,Sửa đổi chu kỳ mặc định thông qua hướng dẫn,Mở quản lý chu kỳ mặc định 
287,Xác định chu kỳ mặc định cho mỗi tuần học,Mở quản lý chu kỳ mặc định 
288,Đặt chu kỳ mặc định là một tuần,Mở quản lý chu kỳ mặc định 
289,Thiết lập chu kỳ mặc định là tuỳ chỉnh theo ngày,Mở quản lý chu kỳ mặc định 
290,Chỉnh sửa chu kỳ mặc định cho mỗi cuộc họp,Mở quản lý chu kỳ mặc định 
291,Đặt chu kỳ mặc định là hàng ngày lặp lại,Mở quản lý chu kỳ mặc định 
292,Đổi chu kỳ mặc định thành mỗi năm,Mở quản lý chu kỳ mặc định 
293,Thay đổi chu kỳ mặc định cho từng bước tiếp theo,Mở quản lý chu kỳ mặc định 
294,Cấu hình lại chu kỳ mặc định thành một ngày thiết lập,Mở quản lý chu kỳ mặc định 
295,Đặt lại chu kỳ mặc định sang mỗi tháng,Mở quản lý chu kỳ mặc định 
296,Áp dụng chu kỳ mặc định cho tất cả các dự án,Mở quản lý chu kỳ mặc định 
297,Sửa đổi chu kỳ mặc định qua các bước cụ thể,Mở quản lý chu kỳ mặc định 
298,Thiết lập chu kỳ mặc định là hàng ngày theo từng giờ,Mở quản lý chu kỳ mặc định 
299,Đặt chu kỳ mặc định là một lần duy nhất,Mở quản lý chu kỳ mặc định 
300,"Kiểm tra và khởi chạy chế độ quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
301,"Áp dụng quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
302,"Thiết lập và bật chế độ quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
303,"Kích hoạt chế độ quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
304,"Thực hiện sử dụng chế độ quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
305,"Hướng dẫn mở quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
306,"Bắt đầu quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
307,"Thay đổi cài đặt và khởi động quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
308,"Kích hoạt chức năng quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
309,"Sử dụng quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
310,"Triển khai chế độ quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
311,"Áp dụng quy định về quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
312,"Bật tính năng quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
313,"Đặt và thiết lập quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
314,"Cấu hình chức năng quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
315,"Mở chế độ quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
316,"Sử dụng tính năng quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
317,"Thiết lập và kích hoạt quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
318,"Chọn chế độ quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
319,"Bắt đầu sử dụng quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
320,"Hướng dẫn khởi động quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
321,"Thực hiện quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
322,"Điều chỉnh cài đặt và bật quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
323,"Kích hoạt chức năng quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
324,"Áp dụng chức năng quản lý chu kỳ import tài chính, kinh doanh","Mở quản lý chu kỳ import tài chính, kinh doanh"
